,Action.Execution.Speech,Action.Execution,Action.Imagination,Action.Inhibition,Action.Observation,Action,Cognition.Attention,Cognition.Language.Orthography,Cognition.Language.Phonology,Cognition.Language.Semantics,Cognition.Language.Speech,Cognition.Language,Cognition.Memory.Explicit,Cognition.Memory.Working,Cognition.Memory,Cognition.Music,Cognition.Reasoning,Cognition.SocialCognition,Cognition.Spatial,Cognition,Emotion.Negative.Fear,Emotion.Negative.Sadness,Emotion.Negative,Emotion.Positive.Happiness,Emotion.Positive.RewardGain,Emotion.Positive,Emotion,Interoception.Sexuality,Interoception,Perception.Audition,Perception.Somesthesis.Pain,Perception.Somesthesis,Perception.Vision.Color,Perception.Vision.Motion,Perception.Vision.Shape,Perception.Vision,Perception
action,0.04809682622381841,0.32352752625081294,-0.02954466831376154,0.07051118102585394,0.20004947610403526,0.39989334154329664,0.008489028942260146,-0.011331891962043032,-0.10128154221236724,-0.07677568860166009,-0.08677194737946481,-0.05641670376349551,-0.12036740726906589,-0.10717810298125827,-0.09882821191510101,0.3316954687808155,-0.09925383446752552,-0.062170383736642146,-0.08549877331957623,-0.038439867437565695,-0.0048007241295170075,-0.04349403265547667,0.036177973522577137,0.008435269422980132,-0.1249557955301516,-0.10110990790308826,-0.06066368782177543,-0.038884896636284166,0.02446982962702099,0.156011621796219,-0.016726230739068152,-0.006258383539932165,-0.031594484342792294,-0.06193990593477783,-0.006665400221775098,0.04023888602033249,0.04083300322922828
adaptation,-0.07794514399633407,-0.06079651417004327,-0.07337827364963455,0.14657834374733358,0.06628285209228607,-0.06480165957970664,0.38387194561740984,0.07742617212409866,-0.03832524701360737,0.04587629926983075,-0.012640499642119059,0.012699707206886283,0.03733088428735898,0.019926944845609796,0.08923528673451049,-0.06684525827927906,-0.06704055893606423,-0.01973766438222445,0.17064148965660064,0.044994904618759636,0.2805291901955342,0.19132688881450763,0.2412384112170327,0.2531790064195064,-0.008468556621526749,0.06209397820618433,0.024851859404533924,0.008182390188210414,-0.03158788500252217,-0.019116326277753077,-0.0545466455174392,-0.05736054903743397,0.23374475006127524,0.019344265240278796,0.35670170967026305,0.4690994724874962,0.2800285286392361
anticipation,-0.04175450938666493,0.14871596592672998,-0.1093507362014603,0.10228122310071375,-0.0987697603839374,0.1302940398742945,0.006805445362331728,0.04568068624524521,-0.0793183576225559,-0.09653677995898018,-0.08811972099266885,-0.10823744182040489,0.027275170315112562,-0.09492860727756894,-0.07810990519426005,-0.08847313686359698,0.08933313145300788,-0.04421547079036281,-0.013171063990472196,-0.04613248958211345,-0.023308988552346897,-0.057044478917815895,-0.039440940026413775,-0.07165770768095629,0.08205887863725381,-0.0013994573167279982,-0.0369753444733883,0.1335301965090634,0.17354413767102858,0.1317387373768573,0.11582447865594918,0.16602348332654476,0.08513554288231517,0.04013899887598467,-0.04729092613922668,-0.027496869666485995,0.09964369126426618
anxiety,-0.07832384363351236,-0.16179100078308886,0.07062871683770205,0.02726439789296689,-0.07508596363458139,-0.15116839279055264,-0.0888175596449221,0.024855633041201666,0.21584637658304817,0.22626416862392176,-0.023203468072012748,0.1396012398300988,0.31661904577528827,-0.0793958329418431,-0.011408205219956618,-0.08369430097522756,-0.02658781220837796,0.06426610721297628,-0.03652854805530051,-0.04344537518402925,0.02905273807132497,0.07745331345731316,-0.016819149265314057,-0.016333939394857888,0.008217649831220034,0.02690341411376725,0.028040447333072423,-0.05110173958669243,-0.03579741334704966,-0.07233788098083799,-0.14448554303115627,-0.15730934960451218,-0.03799917340146664,0.010650120786000559,0.009620724833927192,-0.04757267038353107,-0.017233381119147562
arousal,-0.09190542252348444,-0.014290966030440645,-0.02768562690610938,-0.0013257575030452178,0.12698632264346046,0.009249503302887506,0.05297390992100006,-0.05882521284534283,-0.11558328635221785,-0.06771495909724687,-0.10854604929144089,-0.10705615694068685,-0.01596712219913451,-0.02817252905109733,-0.019078204747305247,-0.008655600717331527,-0.12024584673139703,-0.017652004009255172,-0.08394037069109067,-0.09356617848226817,-0.06344715022357574,-0.055011380124559944,-0.07305615806004974,-0.07424480569303252,0.004447704953146635,-0.009443148264009823,-0.08306122593041013,-0.047492227860244214,-0.08471071206284123,0.005180380172200442,-0.050094354534079844,-0.08419247847999436,-0.06731303360744606,-0.06155935121701768,-0.0982118059454949,-0.06292147126457981,-0.05989683208642239
attention,0.1160038785636617,-0.008760957502573694,0.029606082789290826,0.0064528344331846385,-0.045671974281876006,-0.009503651382060305,0.08140711533842793,0.20583044010917168,0.09695385225292631,0.1490853790039914,0.13857534023315715,0.1797595045540767,-0.055745247228971395,0.08211366809312087,0.006869442909302745,0.09547984017979536,0.18478864920583624,0.04762068337870887,0.05983259972569506,0.15036037287108572,0.03273402551946474,-0.04054355840662252,0.0006815952841829839,0.01550345005317584,-0.041701463858538776,-0.03767644600728908,-0.035240292013349564,-0.06981709694313601,-0.055778847159298026,0.07461432295195454,0.003060009945799542,-0.05480173411218166,-0.018624406045826426,0.21401531736461193,0.05881489370769847,0.02949045164024342,-0.01768670367385265
autobiographical memory,-0.154907205747297,-0.19337336439541392,0.16614379297168963,-0.09750474195963116,-0.07956070021539402,-0.18084489919514757,-0.08063843302545645,-0.03663273355072236,0.1275918008344522,0.22633803243742648,-0.09230520758259293,0.09080397570292403,0.22231772705506964,-0.10903391060630223,-0.07852768382191301,-0.09832800353288866,0.0013127528988392907,0.2938264412652698,0.06724460237507363,-0.031044256925074638,-0.011531541914155266,-0.05254528646374871,-0.017000630984956654,-0.0687513350800425,0.15618898215508728,0.1775267477107696,0.14209883923089034,-0.02642828364553338,-0.00304363771015571,-0.1153427230781851,-0.15583144696217746,-0.19841627281638774,-0.08207561239116812,-0.07785491519291694,-0.028572335971904592,-0.0981634179065668,-0.11402112133047533
balance,-0.11441824506972759,-0.09664617488244671,-0.027881615939898956,0.009855379355791494,0.1680585182513741,-0.06962894988760834,0.07190332561454975,0.04991249915399001,0.018490144314090916,-0.05181559609656529,-0.029849161817942664,-0.044187479421871234,0.11812169392889774,0.024317820327893588,0.07701317114014487,0.032891530832446905,-0.011455837794643016,-0.074063047756953,-0.05146169971893973,0.04875340871650542,0.04067000134992058,-0.0698622643879184,0.07374173993529289,0.0316137053095396,0.11502668295752361,0.11731997681371535,0.08155599381301079,0.0778807829094128,0.02572313484799678,-0.033078731707961516,0.13880683217878764,0.07836658286817484,0.057157174256860815,0.010411757036125223,-0.07365168822592659,-0.04920249296174338,-0.011299456582324634
belief,-0.1382853108504795,-0.16981821968314198,0.010086370560012558,-0.08120706518839158,-0.08897966634085439,-0.1690665958482559,-0.07372357324190405,-0.06509449272732167,0.053647647112105935,0.15421555376792245,-0.10378680651130115,0.018568495632942054,0.03933377056328791,-0.1394120832555232,-0.12855189918997229,-0.1273446863156409,0.11217631874504266,0.6769653645109514,-0.0022752791496796184,-0.04960285193934662,0.007705793567727794,-0.028634240340699092,-0.035280137757717656,-0.03979139217176435,0.04022346102466025,0.01040993351117422,0.0149923874549932,0.002637425234161216,-0.012842341599720234,-0.031047056831152813,-0.005995972129873298,-0.04859885023572568,-0.06489783245661399,-0.07014462577270535,0.08940174456082786,-0.08507494631623994,-0.0914735402347642
cognitive control,-0.05306514834417596,-0.18088271914034626,0.20677302830413427,0.02473910203252753,-0.04409549091428886,-0.18581099808349932,0.07902239965973928,0.14779986852436638,0.10036302754228096,0.06541411355323956,-0.0890599629994406,0.01585078800568402,0.022739768083252076,0.17997678030222178,0.14283503782685558,0.10838448608193417,0.3280678469435973,0.18688738248721365,0.06361090394400862,0.13504576682699415,-0.050948084016944596,0.002461519095139965,-0.03601894752659568,0.034341113192211344,0.07556756022030185,-0.011046799227428466,-0.022602413057168248,-0.05946296581555017,-0.09336611638128724,-0.028950524205438408,0.18436315668443296,0.10655219247077743,0.006584229895425755,-0.06268184006594633,0.003004951912817737,-0.006240309008863303,0.031100948001533082
