,Action.Execution.Speech,Action.Execution,Action.Imagination,Action.Inhibition,Action.Observation,Action,Cognition.Attention,Cognition.Language.Orthography,Cognition.Language.Phonology,Cognition.Language.Semantics,Cognition.Language.Speech,Cognition.Language,Cognition.Memory.Explicit,Cognition.Memory.Working,Cognition.Memory,Cognition.Music,Cognition.Reasoning,Cognition.SocialCognition,Cognition.Spatial,Cognition,Emotion.Negative.Fear,Emotion.Negative.Sadness,Emotion.Negative,Emotion.Positive.Happiness,Emotion.Positive.RewardGain,Emotion.Positive,Emotion,Interoception.Sexuality,Interoception,Perception.Audition,Perception.Somesthesis.Pain,Perception.Somesthesis,Perception.Vision.Color,Perception.Vision.Motion,Perception.Vision.Shape,Perception.Vision,Perception
Left I-IV,0.03727616677374065,0.1337684937475355,0.006152335422254504,0.2144073951832012,0.000529203931707629,0.07148856503885552,-1.0103588992948267e-20,0.0052089923073009615,0.00023814473120051529,0.001087952254477751,0.0019566908412357023,0.013075774317396208,1.0725082402084474,0.01692506722629863,0.24711609003065932,0.12960590842722566,0.18545335142598504,0.163396983194484,0.0009658819265721011,1.4361161889269487e-19,0.2534620203878451,0.17878071256573583,0.6848138909946305,0.14021543299373387,0.39494489275753836,0.21097199581051648,0.5849952813118294,1.0401679949772349,1.2067369873710347,0.015749837168709365,0.6641390363760253,0.5443365980100945,0.31904179180912073,0.276389325120007,1.5016993978721445e-22,0.03503001934250552,0.16915175486093276
Right I-IV,0.0015037513779469266,0.40484132065311745,0.0045602955796401785,0.5713337700842902,0.035853681809968264,0.31726291569938764,0.00268752211644825,0.003560592753270152,0.09148615468515454,0.052865534677093644,-2.8707588006532895e-20,-8.689367495051758e-23,0.4124928919459093,0.0003427826083303644,0.11107502075444486,0.018189242220651037,0.032662165010947285,0.09966979525715339,0.001995661868495787,6.007608619473163e-24,0.24093049952699136,0.08818393727068179,0.19853964058759968,0.0003886699020397357,0.19354815749148294,0.06245596982533508,0.14876360487526197,0.33381083064595113,0.8330923326663022,0.46799764105854064,0.7237640373529488,0.6693139993613868,0.5537619128823186,0.21781463507057078,0.0035713907295882694,0.001440565739726812,0.19905860433374914
Left V,0.6727291522204494,1.2253934458418765,0.16476493469923248,0.021573119642268757,0.02779128450771927,0.8334167242627367,0.0012245680041014142,0.039515221135080145,0.02974679504231558,0.06883278165377656,0.3474064379032011,0.13474202089890533,0.4333270964782279,0.004873959605464971,0.03612537704464907,0.03479187237217594,0.013600735965837937,0.08894356774418649,0.03852090962976528,2.1083338998476669e-19,0.016383566814791455,0.46272259446071345,0.2014932015142362,0.14748913128763266,0.21012285173880074,0.06109948112089907,0.10128068476447134,0.7211916979741207,0.8519272288256833,0.047856228474499295,0.32569268194425655,0.3993934513204691,0.05840485731334809,0.06303485244702114,0.004816379778696768,0.000493302691023275,0.015174543577998073
Right V,0.08984099529265985,2.273075466653537,0.0002206030293771736,0.4858752829344835,0.08473642037717388,2.0051332485465205,0.0008158759526648216,1.5156750448907933e-20,0.010898147528519947,0.12147527637592777,0.048180952201199376,0.020240480840698686,0.035723196478044256,1.0359229828525581e-20,0.004043537568925038,0.07297256194950805,0.02143316885102374,0.07232740436284091,0.04551412834181028,0.0005381696690175119,0.03150091037170654,-5.444875498707851e-21,0.0015191581204538032,0.0017898362971035834,0.33947135341734874,0.11406888187817549,0.022752201735825615,0.20130224770258193,0.17956044308408087,0.6576325286617861,0.24541324016687888,0.6252822068433338,0.21231276195997253,0.09500786578012077,0.10137602091615812,0.037973820919516676,0.07389370111660372
Left VI,1.5517365368598564,1.4075650826278852,0.1921618260765439,0.21476011858674784,0.09461231736837804,1.1186016588993009,0.014732120170849999,0.270644102619621,0.3132642795385533,0.18708610109943663,0.30936089407184697,0.25554255625232036,0.011742929674680528,0.12329377476552679,0.04443706913162791,0.6216242502814667,0.17786297140455737,0.10378922016750416,0.12141456309490929,0.04019863467950154,0.05150645590950917,0.10619990743031618,0.032830712373553006,0.3440939080087134,0.022692984484421336,0.015446663820729026,0.010649014998353964,0.22368787315761848,0.18321606943151275,0.28553947650561684,0.824128730374253,1.007562349100776,0.04446641794990857,0.14112738412829426,0.15606391219856713,0.1266241833223867,0.25549481615157926
Vermis VI,0.8744185910870335,1.558931118399407,7.270458478619856e-20,0.05120648174821229,-5.053358399800479e-22,0.9870003366744582,0.1228723460075822,0.22806500560115023,0.29434185268112656,0.40652226146156034,0.5052498826832666,0.21395483600457746,0.06001768792135684,0.30028062372883124,0.05314809050863306,0.12873223922448204,0.5515535542179575,0.0685723815049451,0.011126161242783861,0.2136365299993574,5.736887502546967e-20,2.6401627559947085e-19,0.08100976290090922,1.7759039509737404e-22,0.34092105855212806,0.05556539835310993,0.23787554265137412,0.03578041485940761,0.09566275439830013,1.3038552512739157,0.20572679099508345,0.33268596103168424,-1.4728539219318874e-22,0.3258153457559171,0.02235850610981567,0.007469292118939304,0.14915845192762095
Right VI,0.9230373214998688,1.4314175605320556,0.004673186796200055,0.2799949311133657,0.1603358146718906,1.2368597138229769,0.16593622958950863,0.13287583695726585,0.3426177399159201,0.22095695477368296,0.7035692402595841,0.2754817186839509,0.17751284164369094,0.44120458778137833,0.2615295261694296,0.25116333772812716,0.09867432049272627,0.06986540699061994,0.12190768606327125,0.18395175178970322,0.2776014669650896,0.15409217569054412,0.2946533564844928,0.21714658740725276,0.11584325102390335,0.11390739527382834,0.11945396129278424,0.1035257595779976,0.153087946232901,0.41527727346342513,0.2104066851716033,0.3664074305654581,0.27467979995529285,0.36011673181638404,0.34072186633669627,0.4028279947813579,0.14293589422583453
Left Crus I,0.08893673372846117,0.017913746813695,0.3422575900591151,0.12548441408824948,0.24606157089246525,0.01206015984713051,0.025602868078976684,0.13551390559590873,0.0933215642041793,0.024222944513443596,0.00484711184952419,0.040042890762777665,0.1681660086214297,0.5971699186657088,0.34243674065476976,0.17936680462918292,0.5281039235311057,0.5550357207320822,0.2721659881203769,0.07825348520785325,0.021808933938921672,0.2636780464347066,0.13791139693141397,0.1086136430927055,0.28292757282466874,0.07064954605970873,0.10001222286514652,0.21833511573770034,0.1522650248873487,0.08631449280479359,0.4024222867807698,0.3925870415057097,0.029325182858087852,0.029388076337927074,0.48569633580020244,0.07517507415770734,0.060263212221656585
Vermis Crus I,2.1595102000294018e-18,6.612947392937654e-21,1.372605990077939e-24,3.409802046545002e-23,5.2152378070417663e-23,-1.0570078555872112e-21,0.2431667324124331,1.2919905246321135,1.3728328524041107,-2.032732823705888e-19,-8.524254134649249e-20,-6.538543385266185e-20,3.2431603492634192e-24,1.2300684173900183,0.020451809587368003,2.989246571182663e-21,2.7295522314408984,0.45564942332565916,0.1061479549352696,0.8749349568373472,-4.176996060476243e-26,-2.717511371886469e-24,0.13922344668274625,-1.6324205663366956e-26,0.19886193119057166,1.4537081162853103e-19,0.05621560096348556,1.6772414226207723e-18,0.08059890577921111,0.4711817405402993,1.067545970289541e-21,2.7749083736989044e-23,1.68888321760519e-21,-3.0679865805721987e-19,0.7268567600793587,3.0171740668042335e-18,1.5837166292134599e-22
Right Crus I,0.06320636217540926,3.96885657039316e-20,0.29268630506054455,0.1810691751109487,0.06102393363728699,0.0009189155017267208,0.27045182842824056,0.2987107059634135,0.8843239270294366,0.38788551054707426,0.3523553645325748,0.4559292665672611,0.14199668468904109,1.0940816243312497,0.6583505920257412,0.15933942319810482,0.2519559675974141,0.4268339774778897,0.510248804755006,0.4917007312173749,0.39397860818830255,0.44495084330394524,0.2791385073616672,0.32616745793946017,0.3231971346598843,0.2869043087167405,0.2903335778747446,0.07507646197065634,0.062239607832508564,0.05120971434005559,0.15705877382639638,0.13475155956344237,0.271190154195978,0.11524394052306765,0.3817111385758386,0.5535406888868439,0.126702249443528
Left Crus II,0.004801530915713102,0.006113461576736781,0.11145756212241574,0.055158763219038856,0.41722821222612444,0.00757381113337614,0.056638492608349494,0.12434797060445303,0.11163040592731596,0.0251733722492575,0.00044433691290660386,0.0018074669758158808,0.061971938112641956,0.15500189123960997,0.06072982367052058,0.19387408265623723,0.38695220395109525,0.4845329335033174,0.017271810029270744,0.03640466181660924,0.08498286035224802,0.005616143248026291,0.31476298748532666,0.00013784365316978577,0.28057161868212416,0.06540812539309444,0.21765566484805765,0.18856071778065925,0.1571282388821914,0.14198552851899954,0.46495297769374944,0.3303535723760076,0.06033647570263966,0.023567491455367014,0.038697312366193046,0.017771462936076596,0.007829367581804678
