,Action.Execution.Speech,Action.Execution,Action.Imagination,Action.Inhibition,Action.Observation,Action,Cognition.Attention,Cognition.Language.Orthography,Cognition.Language.Phonology,Cognition.Language.Semantics,Cognition.Language.Speech,Cognition.Language,Cognition.Memory.Explicit,Cognition.Memory.Working,Cognition.Memory,Cognition.Music,Cognition.Reasoning,Cognition.SocialCognition,Cognition.Spatial,Cognition,Emotion.Negative.Fear,Emotion.Negative.Sadness,Emotion.Negative,Emotion.Positive.Happiness,Emotion.Positive.RewardGain,Emotion.Positive,Emotion,Interoception.Sexuality,Interoception,Perception.Audition,Perception.Somesthesis.Pain,Perception.Somesthesis,Perception.Vision.Color,Perception.Vision.Motion,Perception.Vision.Shape,Perception.Vision,Perception
Left I-IV,0.634,0.656,0.906,0.415,0.985,0.746,0.999,0.789,0.987,0.931,0.849,0.728,0.004,0.885,0.293,0.555,0.323,0.444,0.956,0.956,0.096,0.237,0.022,0.233,0.186,0.203,0.027,0.001,0.001,0.876,0.156,0.242,0.102,0.083,1.0,0.5,0.108
Right I-IV,0.891,0.434,0.949,0.091,0.869,0.481,0.886,0.831,0.637,0.588,0.992,1.0,0.131,0.99,0.521,0.902,0.747,0.565,0.962,1.0,0.136,0.417,0.267,0.921,0.419,0.529,0.357,0.211,0.015,0.099,0.131,0.168,0.018,0.111,0.915,0.855,0.089
Left V,0.102,0.084,0.565,0.956,0.929,0.176,0.957,0.601,0.9,0.621,0.086,0.349,0.083,0.981,0.855,0.905,0.908,0.674,0.753,0.976,0.711,0.036,0.255,0.233,0.462,0.58,0.491,0.008,0.005,0.831,0.524,0.379,0.594,0.436,0.938,0.942,0.694
Right V,0.612,0.003,0.993,0.096,0.833,0.004,0.981,1.0,0.966,0.422,0.585,0.76,0.841,1.0,0.979,0.828,0.88,0.727,0.733,0.935,0.606,1.0,0.98,0.947,0.228,0.38,0.869,0.419,0.547,0.014,0.672,0.168,0.154,0.312,0.512,0.584,0.345
Left VI,0.0,0.022,0.564,0.477,0.873,0.045,0.925,0.07,0.25,0.291,0.08,0.106,0.988,0.781,0.916,0.019,0.411,0.716,0.467,0.64,0.597,0.453,0.911,0.017,0.987,0.934,0.986,0.377,0.592,0.2,0.021,0.005,0.788,0.194,0.354,0.309,0.017
Vermis VI,0.084,0.075,0.999,0.775,1.0,0.153,0.253,0.159,0.295,0.074,0.049,0.189,0.638,0.359,0.683,0.569,0.075,0.63,0.832,0.14,0.993,0.975,0.521,1.0,0.221,0.531,0.21,0.799,0.648,0.002,0.669,0.47,1.0,0.073,0.724,0.708,0.169
Right VI,0.028,0.029,0.995,0.335,0.735,0.031,0.139,0.279,0.238,0.192,0.002,0.092,0.427,0.225,0.245,0.454,0.691,0.845,0.454,0.145,0.036,0.266,0.109,0.094,0.794,0.434,0.526,0.757,0.662,0.051,0.834,0.48,0.067,0.009,0.059,0.021,0.114
Left Crus I,0.738,0.988,0.233,0.802,0.555,0.996,0.922,0.268,0.879,0.949,0.979,0.824,0.489,0.078,0.095,0.636,0.013,0.034,0.064,0.459,0.908,0.073,0.517,0.38,0.309,0.723,0.678,0.399,0.726,0.855,0.409,0.425,0.927,0.802,0.003,0.546,0.492
Vermis Crus I,0.415,0.704,0.995,0.994,0.952,0.81,0.131,0.019,0.041,0.485,0.46,0.411,0.987,0.085,0.389,0.911,0.0,0.157,0.23,0.037,0.97,0.85,0.258,0.94,0.283,0.551,0.296,0.645,0.405,0.152,0.99,0.991,0.801,0.468,0.084,0.291,0.789
Right Crus I,0.827,1.0,0.312,0.668,0.983,1.0,0.008,0.028,0.0,0.017,0.042,0.003,0.587,0.001,0.0,0.726,0.23,0.115,0.0,0.0,0.003,0.004,0.119,0.007,0.222,0.035,0.072,0.918,0.969,0.955,0.96,0.978,0.053,0.263,0.025,0.004,0.157
Left Crus II,0.986,0.996,0.824,0.972,0.159,0.997,0.693,0.292,0.814,0.933,1.0,0.994,0.897,0.763,0.901,0.6,0.053,0.068,0.978,0.711,0.471,0.984,0.083,1.0,0.325,0.736,0.206,0.488,0.693,0.615,0.264,0.592,0.727,0.845,0.896,0.87,0.943
Vermis Crus II,0.89,0.954,1.0,0.995,1.0,0.996,0.285,0.125,0.093,0.354,0.615,0.441,0.989,0.273,0.827,0.98,0.025,0.551,0.873,0.187,0.993,1.0,0.737,1.0,0.317,0.63,0.776,0.177,0.088,0.18,0.883,0.942,0.523,0.975,0.282,0.996,1.0
Right Crus II,0.995,0.999,0.001,0.103,0.961,0.989,0.424,0.327,0.005,0.001,0.896,0.08,0.149,0.311,0.3,0.882,0.886,0.063,0.57,0.423,0.904,0.961,0.932,0.946,0.918,0.811,0.899,0.959,1.0,0.58,0.824,0.9,0.225,0.966,0.948,0.976,0.923
Left VIIb,0.684,0.653,0.99,0.611,0.001,0.459,0.972,0.998,0.999,0.979,0.989,1.0,1.0,0.586,0.841,0.278,0.87,0.421,1.0,1.0,0.273,1.0,0.138,0.991,0.995,1.0,0.74,0.156,0.291,0.423,0.058,0.133,0.987,0.616,1.0,1.0,0.274
Vermis VIIb,0.654,0.7,0.999,1.0,0.974,0.812,0.997,0.903,0.707,0.917,0.871,0.944,0.436,0.935,0.89,0.759,0.057,0.735,0.84,0.918,0.445,0.996,0.296,0.997,0.209,0.573,0.168,0.059,0.123,0.906,0.476,0.236,0.952,0.969,0.885,1.0,0.932
Right VIIb,0.889,0.442,0.002,0.217,0.607,0.277,0.495,0.939,0.799,0.909,0.997,0.973,0.993,0.249,0.36,0.101,0.943,0.985,0.812,0.986,1.0,1.0,0.988,0.963,0.963,0.869,0.964,0.894,0.989,0.509,0.659,0.682,0.241,0.998,0.784,0.999,0.952
Left VIIIa,0.482,0.479,0.983,0.046,0.0,0.2,0.651,1.0,0.998,1.0,1.0,1.0,0.94,0.907,0.983,0.069,0.863,0.839,1.0,1.0,0.842,1.0,0.957,0.991,0.999,1.0,0.997,0.552,0.412,0.223,0.358,0.381,0.993,0.739,0.886,1.0,0.85
