,Action/Action.Execution.Speech,Action/Action.Execution,Action/Action.Imagination,Action/Action.Inhibition,Action/Action.Observation,Action/Action,Cognition/Cognition.Attention,Cognition/Cognition.Language.Orthography,Cognition/Cognition.Language.Phonology,Cognition/Cognition.Language.Semantics,Cognition/Cognition.Language.Speech,Cognition/Cognition.Language,Cognition/Cognition.Memory.Explicit,Cognition/Cognition.Memory.Working,Cognition/Cognition.Memory,Cognition/Cognition.Music,Cognition/Cognition.Reasoning,Cognition/Cognition.SocialCognition,Cognition/Cognition.Spatial,Cognition/Cognition,Emotion/Emotion.Negative.Fear,Emotion/Emotion.Negative.Sadness,Emotion/Emotion.Negative,Emotion/Emotion.Positive.Happiness,Emotion/Emotion.Positive.RewardGain,Emotion/Emotion.Positive,Emotion/Emotion,Interoception/Interoception.Sexuality,Interoception/Interoception,Perception/Perception.Audition,Perception/Perception.Somesthesis.Pain,Perception/Perception.Somesthesis,Perception/Perception.Vision.Color,Perception/Perception.Vision.Motion,Perception/Perception.Vision.Shape,Perception/Perception.Vision,Perception/Perception
Left I-IV,0.416,0.577,0.179,0.627,0.227,0.281,0.157,0.61,0.543,0.739,0.687,0.59,0.133,0.587,0.922,0.365,0.912,0.204,0.504,0.123,0.385,0.779,0.935,0.32,0.851,0.881,0.691,0.155,0.02,0.469,0.068,0.035,0.24,0.55,0.519,0.123,0.296
Right I-IV,0.582,0.568,0.277,0.946,0.16,0.471,0.176,0.396,0.163,0.28,0.45,0.505,0.004,0.253,0.855,0.685,0.945,0.856,0.175,0.204,0.109,0.491,0.022,0.884,0.493,0.699,0.032,0.002,0.001,0.264,0.366,0.732,0.087,0.078,0.171,0.674,0.113
Left V,0.241,0.995,0.177,0.07,0.268,0.926,0.229,0.287,0.571,0.633,0.242,0.174,0.118,0.148,0.725,0.252,0.421,0.566,0.195,0.183,0.17,0.847,0.96,0.182,0.879,0.639,0.943,0.461,0.013,0.097,0.129,0.25,0.016,0.109,0.284,0.32,0.087
Right V,0.069,0.063,0.712,0.189,0.189,0.141,0.21,0.606,0.27,0.605,0.08,0.965,0.084,0.159,0.288,0.297,0.196,0.515,0.449,0.174,0.465,0.036,0.794,0.619,0.845,0.619,0.765,0.009,0.008,0.306,0.85,0.887,0.647,0.813,0.224,0.21,0.53
Left VI,0.725,0.0,0.145,0.081,0.323,0.002,0.139,0.156,0.151,0.949,0.62,0.387,0.345,0.12,0.133,0.372,0.27,0.454,0.436,0.211,0.6,0.137,0.152,0.234,0.53,0.988,0.248,0.918,0.823,0.009,0.544,0.269,0.361,0.958,0.779,0.633,0.924
Vermis VI,0.0,0.018,0.814,0.844,0.247,0.039,0.18,0.069,0.686,0.848,0.087,0.235,0.126,0.44,0.198,0.016,0.963,0.512,0.875,0.54,0.585,0.966,0.229,0.022,0.11,0.186,0.129,0.732,0.854,0.306,0.018,0.004,0.375,0.466,0.975,0.981,0.015
Right VI,0.082,0.074,0.182,0.402,0.166,0.143,0.839,0.153,0.82,0.078,0.051,0.669,0.531,0.998,0.52,0.712,0.075,0.499,0.362,0.144,0.257,0.211,0.67,0.189,0.739,0.646,0.721,0.402,0.558,0.002,0.562,0.862,0.168,0.078,0.444,0.445,0.168
Left Crus I,0.024,0.019,0.103,0.799,0.426,0.027,0.227,0.672,0.423,0.433,0.001,0.082,0.882,0.444,0.564,0.899,0.563,0.26,0.922,0.133,0.053,0.761,0.235,0.114,0.351,0.802,0.697,0.404,0.573,0.027,0.333,0.961,0.08,0.008,0.076,0.028,0.167
Vermis Crus I,0.488,0.112,0.564,0.393,0.819,0.092,0.23,0.652,0.269,0.151,0.142,0.3,0.88,0.07,0.107,0.714,0.013,0.031,0.052,0.911,0.233,0.075,0.811,0.829,0.807,0.484,0.564,0.891,0.469,0.333,0.869,0.931,0.212,0.363,0.0,0.76,0.955
Right Crus I,0.788,0.326,0.165,0.164,0.182,0.205,0.148,0.021,0.017,0.15,0.956,0.826,0.214,0.077,0.624,0.239,0.0,0.941,0.793,0.032,0.359,0.24,0.713,0.295,0.512,0.754,0.664,0.593,0.813,0.056,0.339,0.237,0.176,0.608,0.166,0.661,0.18
Left Crus II,0.366,0.084,0.739,0.653,0.104,0.083,0.007,0.03,0.0,0.015,0.033,0.002,0.761,0.001,0.0,0.526,0.505,0.112,0.0,0.0,0.002,0.004,0.132,0.008,0.443,0.031,0.061,0.173,0.117,0.169,0.133,0.119,0.043,0.623,0.02,0.002,0.194
Vermis Crus II,0.131,0.092,0.329,0.103,0.258,0.09,0.523,0.802,0.359,0.177,0.111,0.116,0.219,0.478,0.234,0.7,0.057,0.058,0.133,0.489,0.881,0.127,0.079,0.096,0.712,0.548,0.453,0.954,0.565,0.683,0.525,0.882,0.443,0.313,0.236,0.289,0.26
Right Crus II,0.355,0.312,0.207,0.245,0.161,0.235,0.964,0.103,0.091,0.867,0.542,0.734,0.269,0.906,0.282,0.215,0.022,0.604,0.297,0.886,0.242,0.212,0.503,0.219,0.937,0.56,0.527,0.172,0.092,0.174,0.316,0.335,0.658,0.143,0.997,0.306,0.176
Left VIIb,0.152,0.093,0.0,0.137,0.124,0.107,0.958,0.891,0.005,0.0,0.22,0.074,0.27,0.666,0.531,0.311,0.207,0.055,0.7,0.899,0.257,0.177,0.184,0.206,0.171,0.307,0.202,0.119,0.054,0.668,0.372,0.243,0.667,0.144,0.156,0.248,0.222
Vermis VIIb,0.479,0.633,0.102,0.802,0.001,0.967,0.181,0.161,0.096,0.119,0.133,0.125,0.085,0.658,0.29,0.478,0.226,0.866,0.11,0.152,0.83,0.126,0.237,0.126,0.092,0.108,0.474,0.319,0.642,0.956,0.052,0.25,0.144,0.583,0.122,0.154,0.781
Right VIIb,0.258,0.352,0.192,0.189,0.301,0.205,0.145,0.363,0.435,0.225,0.186,0.163,0.736,0.195,0.282,0.397,0.069,0.314,0.321,0.164,0.38,0.143,0.951,0.183,0.68,0.632,0.17,0.049,0.106,0.308,0.775,0.666,0.649,0.137,0.478,0.117,0.156
Left VIIIa,0.303,0.971,0.001,0.329,0.732,0.657,0.935,0.225,0.507,0.323,0.144,0.176,0.136,0.755,0.981,0.156,0.188,0.124,0.396,0.154,0.15,0.12,0.14,0.163,0.151,0.275,0.141,0.197,0.075,0.86,0.571,0.533,0.305,0.148,0.377,0.17,0.195
