,Action/Action.Execution.Speech,Action/Action.Execution,Action/Action.Imagination,Action/Action.Inhibition,Action/Action.Observation,Action/Action,Cognition/Cognition.Attention,Cognition/Cognition.Language.Orthography,Cognition/Cognition.Language.Phonology,Cognition/Cognition.Language.Semantics,Cognition/Cognition.Language.Speech,Cognition/Cognition.Language,Cognition/Cognition.Memory.Explicit,Cognition/Cognition.Memory.Working,Cognition/Cognition.Memory,Cognition/Cognition.Music,Cognition/Cognition.Reasoning,Cognition/Cognition.SocialCognition,Cognition/Cognition.Spatial,Cognition/Cognition,Emotion/Emotion.Negative.Fear,Emotion/Emotion.Negative.Sadness,Emotion/Emotion.Negative,Emotion/Emotion.Positive.Happiness,Emotion/Emotion.Positive.RewardGain,Emotion/Emotion.Positive,Emotion/Emotion,Interoception/Interoception.Sexuality,Interoception/Interoception,Perception/Perception.Audition,Perception/Perception.Somesthesis.Pain,Perception/Perception.Somesthesis,Perception/Perception.Vision.Color,Perception/Perception.Vision.Motion,Perception/Perception.Vision.Shape,Perception/Perception.Vision,Perception/Perception
Left I-IV,-0.006719295460285454,-0.008627280257052375,-0.00802183487626061,-0.008486177545724689,-0.00878988249773618,-0.008790870005860886,-0.006359956338133842,-0.0052719658459729575,-0.007771784860496228,-0.005688007095340527,-0.005632594267030281,-0.00537676222161327,0.009777743526382953,-0.007880767624622075,0.002343123523927185,-0.008603518303613202,-0.0027636176467463894,-0.006925778321481459,-0.006868314173691634,-0.004578134060153497,-0.004917053239683038,-0.005095364661986176,-0.001798645838828048,-0.005359202650909425,0.004149689765012864,0.0035540093349071228,0.006431137333760756,0.01010990519961062,0.042219025854712905,-0.007606526935532095,0.027964038052089777,0.034900043779602374,-0.0062810963776591885,-0.004928013116439157,-0.006101700316781698,-0.004496906364227852,-0.0050711806202778245
Right I-IV,-0.05315256058974204,-0.05821559166646059,-0.07369616168326243,-0.005501480052640452,-0.08346721593298995,-0.06870804845747339,-0.06063558619641202,-0.04721009564094725,-0.0739610517043265,-0.05566873720911143,-0.04931107288493654,-0.044405313063575105,0.3311844994036312,-0.07518931257844906,0.01585874805954632,-0.03742077780850023,-0.005672341982925981,-0.016107680765413034,-0.06515528703918227,-0.04365788158023652,0.06243582048535926,0.04441062558324107,0.20832250010296854,0.013816843612407682,0.054130686865606834,0.030786556626298155,0.18881613923576568,0.32677482325020407,0.3364106184283049,-0.06684112987491048,0.07218821488329766,0.030390397498878587,0.10779658092099001,0.1045285537708097,-0.05818687403383242,-0.030721869666330077,0.0686699152228052
Left V,-0.06912167377760228,-0.0012401044136646354,-0.08212690368634516,0.13940830057135623,-0.07954869033943415,-0.013529989189600723,-0.06472624723296677,-0.05327495340040061,-0.04939863999895296,-0.03663047956490573,-0.057801077712802955,-0.05553022816904869,0.09817215839249291,-0.08451006818526509,-0.0303477790970068,-0.08219324496017866,-0.06242698348141348,-0.04526309709891782,-0.0698107789731715,-0.047285391496572626,0.0559706987011175,-0.014571548594177744,0.005130877015473737,-0.05523910647070297,-0.013717969839377063,-0.03572200952288144,-0.0064236554819740894,0.05894280117183363,0.22334585529427653,0.11090846105259287,0.11010037378494139,0.09113640308406078,0.25015129072316167,0.07827782467583733,-0.059611061842033575,-0.04539415035083713,0.09856005097710396
Right V,0.14664545779497995,0.15942586283218457,-0.03150911339167741,-0.08829406177334755,-0.09034143472930409,0.1000300908325624,-0.06956780823468708,-0.037185177997253335,-0.0725261272521472,-0.03471226762862524,0.10708472029292732,0.004045767642625885,0.10704686338631678,-0.09316238862028707,-0.0720383590402393,-0.07566397864706688,-0.07887241900837076,-0.05071909025556777,-0.05343009121682069,-0.052485117727226416,-0.043470221457806095,0.17869759667035756,0.019463470087348646,0.035365092262880676,-0.014806734668633283,-0.03845995730299379,-0.026620488815066526,0.232409596169892,0.24009409586137964,-0.06665299176713997,-0.01679429269461712,0.011645678319054522,-0.03391326293119102,-0.015210778891625133,-0.0650188894363932,-0.05104248659633759,-0.04216286148907444
Left VI,-0.03902407299691408,0.37076597338940265,-0.0965746173728487,0.11582881363499119,-0.0742404496827983,0.36286408386938107,-0.0753830939423727,-0.06350010329985206,-0.08878784876556998,-0.004642752386200007,-0.040827058078638234,-0.052021094361203876,-0.06476897734319692,-0.09905706003475655,-0.08773658327055259,-0.06798028302976108,-0.07707320151690553,-0.05497729713552028,-0.0547261260469957,-0.0543860779624297,-0.03802693041712358,-0.0673736406325665,-0.0760919798767464,-0.06101893138468936,0.05051900200580871,-0.0010749429987550727,-0.06964476697487869,0.008461819774542547,-0.016779736622989844,0.23519883621991036,-0.051811766439587056,0.08461814518631265,0.05891611660193454,0.004361323641772583,-0.02106923114735075,-0.0337036057115993,0.007204702287743326
Vermis VI,0.5510413376199754,0.2645575890656544,-0.023908102309215133,-0.017279358206528532,-0.09904134432911259,0.21577633167659074,-0.09212445500423694,0.1404909329885306,0.033467440335240295,0.017093485783487045,0.11875763676435039,0.07697516816479752,-0.10733311037823945,-0.07675422361696586,-0.09652817100507102,0.2382419648216907,0.005575812905020422,-0.05970179357482279,-0.012831570683071378,-0.04534999997603006,-0.04268669544800776,-0.003398443661526358,-0.0859421369683436,0.2039192840060491,-0.1239530313115826,-0.09128047963103543,-0.10507647149772302,0.030056155437058852,-0.015987269606335695,0.0751089618439175,0.21928838388576358,0.2972998216631337,-0.06710166926113893,0.049585196491681124,-0.0024292845583229567,0.001440583268937669,0.22885376158675427
Right VI,0.11707866783518643,0.14334085631667282,-0.060607579539941336,-0.0534255701508807,-0.06648631517743109,0.08148486212366475,0.01636370988889509,0.05261504817122899,0.01850849461752416,0.08144108442522659,0.1177261631406848,0.025911119471511236,-0.039238039480313666,5.9463104017066224e-05,-0.04221569390931569,-0.027485792128749964,0.1114991548096056,-0.03986077526512296,-0.0469686625563157,0.04310857171259372,-0.037079754250086826,-0.042221049529660555,-0.027442877442027627,-0.040536845219913534,0.024774967905733806,-0.028796648378348135,0.02524604170732997,-0.05133439905089106,-0.04036131834602802,0.34158916342044177,-0.042213333274241635,-0.01345084636999563,-0.04750406473582273,0.09453013398090657,-0.03973463969295124,-0.03219363978887355,0.0427517459180299
Left Crus I,0.2874076059104227,0.2703980144588599,-0.12954021742089636,0.023762690125934047,-0.07046482936715458,0.25246677050772776,0.08471130632518505,0.03343572104915327,0.07089246871381367,0.059891918898027266,0.4093666623452184,0.11956148210559586,-0.013944062037340244,0.07189088257168129,0.04867316137935345,0.012345059345397431,-0.052483574197598006,-0.08370600886430098,-0.008164214991264707,0.08456363554093296,0.1321334981899262,0.02464497375025813,0.08235662918280408,0.09358893866026158,-0.07788567002414447,-0.0212510591263731,-0.031983436792131455,-0.06976261345295982,-0.04924921369398425,0.17079340417473274,-0.08353372343310284,-0.004075625083787399,0.12477096994770881,0.25416026292949034,0.11608221151854575,0.18004843039070229,0.07813478305979865
Vermis Crus I,-0.08496596140553743,-0.16816158532555409,0.05587082903738315,-0.0794898507889208,-0.02249083182864952,-0.17151750489391568,-0.08990864711046015,0.03890850311177508,-0.0949416763637149,-0.10199819112904959,-0.11024757009333908,-0.0767882640506772,-0.01207864242651024,0.17008300292213693,0.128114813451089,-0.03638606262100785,0.2781852388267376,0.2046378159652979,0.15581230246293332,-0.008832179924353225,-0.07779900539126364,0.13312999735738903,-0.02017232212425875,0.01652919622212258,0.022028122710449884,-0.05541202001799421,-0.04640119294194328,0.012277965399208775,-0.06693358518402617,-0.07954394121197417,0.01658302229084587,0.008442430155377365,-0.09670489795230618,-0.06640296225521802,0.3059267032598594,-0.027514180912700407,-0.004371063898802431
Right Crus I,-0.012197957359152961,-0.023712026640518358,-0.021936682145097933,-0.024110551123234125,-0.024037001686013318,-0.024039702146965117,0.021632474222954973,0.09974002703957158,0.09062225771797373,0.02065056088515929,0.0027496430537487567,0.008358956833928233,-0.019794272565452284,0.05088087953312252,-0.015860948665486443,-0.023426142762707138,0.2020252593331604,-0.0027349287301307946,-0.009798822275437708,0.07637524225597193,-0.013446279519995892,-0.015288890106192013,-0.011876562126484426,-0.014655390807416725,0.01981512058842343,-0.011674668843637184,-0.01336987091600297,-0.017417207831321575,-0.008745723659411134,0.06150597379070361,-0.02795350122016924,-0.028816113669292123,-0.017176421215948035,-0.012216174501467218,0.019306438745831905,-0.011011446792040719,-0.013867759569151122
Left Crus II,-0.09926307278514539,-0.17772248971095125,0.032548882919317276,-0.041333915247299534,-0.14035476308536202,-0.17948318830237087,0.2585332080544954,0.20804437493731512,0.44418041320409674,0.2245741846797243,0.20608015374610975,0.31513259438413316,-0.027192825838813852,0.45744063829770365,0.38706067867710414,-0.05902110142476205,0.0618015591804748,0.12865600056013213,0.39438266418967144,0.42945415654706376,0.32128705278536834,0.32110206343913344,0.11379692848820902,0.2634883617333793,0.07071701480323511,0.18636406355138957,0.1462706395631412,-0.11134023640459839,-0.13071132789240295,-0.11206860508789512,-0.13691829549926596,-0.1446171332707903,0.170142750694332,0.03852587332925727,0.21416288526016777,0.3792044720630857,0.0881048818588246
Vermis Crus II,-0.12136795361296772,-0.15710813896944148,-0.08200700724120519,-0.12411431861241454,0.09536236976288814,-0.15624970401112773,-0.048241467867273936,0.02012890091826483,-0.07779022965434088,-0.09248100517188623,-0.10427385753232045,-0.09868189117996448,-0.08812799463555854,-0.06886293521738203,-0.09134809823304604,-0.032738087937035955,0.14660468174121716,0.14412135960851902,-0.10990884608108406,-0.05119786440060922,-0.009681893530896818,-0.09726336543765188,0.12069065788825176,-0.09926402091596503,0.03236154717848297,-0.04849552799289694,0.05654197917481274,0.0049522503132186525,-0.04806973713392014,-0.03227087819441138,0.056994567069129996,-0.01510191135703045,-0.05974957811654806,-0.06391755826412047,-0.08249494493131278,-0.0709899141339088,-0.0763606957686074
Right Crus II,-0.027003561541567137,-0.034853843546457645,-0.03230804412332088,-0.035237442308769004,-0.03539821543949064,-0.035388212761800125,-0.0019826426956938963,0.0318110576279775,0.06629921717017441,-0.009380810473703479,-0.021519297395459578,-0.016557151376697266,-0.02896078956676499,0.008023537480711896,-0.03008082969554793,-0.034587565247852406,0.12798503121788013,-0.023338535817943852,-0.027511855219319876,0.008491232859746779,-0.0198029164685513,-0.022517267327859802,-0.02403908647485876,-0.021584258262881025,0.004383877117303896,-0.022972830366953256,-0.024820716891037563,0.04576405431514329,0.0701460680787543,0.03435618936652272,-0.04215023887481639,-0.04034290038107243,-0.020278782267267564,-0.01984763681404006,-0.00035044308863411955,-0.018104083010997758,-0.02042424579470231
Left VIIb,-0.12026615389046459,-0.15146265629560446,0.4099761464242215,0.12059327692421547,-0.12021736034354338,-0.14434335505361143,-0.00379499693962598,0.00995593075295908,0.30496750356796115,0.31003393672200985,-0.08721044636620054,0.1313151053090656,0.08114591221439718,0.0408576333066386,0.0533251189350813,-0.08512502527763811,-0.09665120223710974,0.1656226664508133,-0.03152644113905582,-0.009786075344819862,-0.07331077442312282,-0.08460864994386658,-0.09493320350014198,-0.08112134226785192,-0.10569443842964175,-0.07464905100341658,-0.09153603231103141,-0.12003839894746775,-0.1520749046334176,-0.03804763479603923,-0.07726503200907883,-0.10249687703420408,0.0350083992713476,-0.08284176842913059,-0.09296697976622476,-0.0726825000357188,-0.07561065033304284
