,Action.Execution.Speech,Action.Execution,Action.Imagination,Action.Inhibition,Action.Observation,Action,Cognition.Attention,Cognition.Language.Orthography,Cognition.Language.Phonology,Cognition.Language.Semantics,Cognition.Language.Speech,Cognition.Language,Cognition.Memory.Explicit,Cognition.Memory.Working,Cognition.Memory,Cognition.Music,Cognition.Reasoning,Cognition.SocialCognition,Cognition.Spatial,Cognition,Emotion.Negative.Fear,Emotion.Negative.Sadness,Emotion.Negative,Emotion.Positive.Happiness,Emotion.Positive.RewardGain,Emotion.Positive,Emotion,Interoception.Sexuality,Interoception,Perception.Audition,Perception.Somesthesis.Pain,Perception.Somesthesis,Perception.Vision.Color,Perception.Vision.Motion,Perception.Vision.Shape,Perception.Vision,Perception
Primary Visual,0.29306880145470643,0.9282989949938922,0.08128313757381768,0.0880597255404687,0.15470737816127242,0.6959743927871109,0.014312066829840304,0.028534191493475056,0.04785559726573437,0.06574296197000304,0.0961669859778599,0.013530678182061492,0.3039009271635162,0.024800473374611366,0.07170323284653986,0.15018012855385532,0.285965353586617,0.03679227538497027,0.06624650579390454,0.014470324944264364,0.021006393051757433,0.02819313619752392,0.1731365641410627,0.0003816976362785716,0.6240771194571637,0.2624065303156907,0.39375801226743135,0.3826912472327629,0.24536009409412426,0.2337703360211054,0.31904364262877616,0.5251391612501354,0.012020726933493134,0.09842147829477177,0.00896308886163768,-7.20666735410988e-21,0.05620480814706936
Secondary Visual,0.7912202736672098,0.9924027134943786,0.03155105439307166,0.19073682156460586,0.24061939670440663,0.8408971223867068,0.058117600868870925,0.07565183474557537,0.17668663972190754,0.12235074622652208,0.38031894196862176,0.07645028797499981,0.0326807883774924,0.13496657387052516,0.05710752063335809,0.3067907222038299,0.27595044417085024,0.08145741142117773,0.02831223210979235,0.0554286848521291,0.029780365506858766,0.00037965689530251726,0.0990269305029889,1.5135226445285366e-19,0.10814385877105276,0.007855414062925316,0.026129911048925928,0.32273988399755194,0.23660159981378093,0.4944586716677765,0.2723363992943432,0.2655864084887603,0.08989094428277714,0.3827802857358516,0.050922767805048036,0.027038633751615228,0.05284317108702191
Somatomotor,0.46119882663410905,1.4991392100713843,0.04592137600379259,0.22390576036725232,0.24464156523082997,1.3746070337699026,0.021452540309657486,0.007025011312301152,0.008920792725120894,0.05005047756968507,0.10080118728624912,0.03454412411285101,0.16300076421635834,0.0021359815217778604,0.01191043685679602,0.2716922555943698,0.014803085561980244,0.057231421819737255,0.013045670154180934,0.00019709269203359422,0.03960005961821442,0.12506274042902887,0.061495561731618895,0.03820137711203733,0.07322286959567119,0.023329489860017597,0.028241106235299792,0.20882429097225513,0.35710203087655207,0.2996069561699267,0.22636023273123215,0.3714617794509757,0.069673658839761,0.01852590258648898,0.04446425060768436,0.01009863816827242,0.014809822421609898
Cingulo-Opercular,0.586027737483786,0.8823879822483696,0.15424729058020512,0.33368284208805454,0.48226995688531504,0.8304505461917643,0.11528856269839945,0.13522831064542878,0.2197713103562361,0.19224898593906806,0.23680258822096892,0.20656829394293938,0.09553604468177501,0.29175570991469246,0.15085578849781908,0.33492507111592834,0.02965380197207186,0.07118143128699021,0.14795069590086504,0.039073825642345114,0.15207994247150933,0.16907606646720907,0.19133294776592985,0.2533655524956541,0.07484962673226586,0.02927026215331981,0.027642704346995266,0.17646172888083667,0.11727610197994466,0.2736066722532547,0.3324585747690373,0.40106147524222774,0.11880869856548246,0.06545339106496681,0.32595085317916106,0.32778694042120643,0.1362152178033133
Dorsal Attention,0.35039236684158076,0.5991671829119074,0.27087315823875496,0.34482700374764974,0.6929834188013294,0.6690501815640622,0.16605497580547468,0.06796894687091606,0.16228205123784034,0.06441557731925888,0.15726472420167328,0.08117776428392004,0.13834176832229875,0.20246775870642147,0.10285504460396146,0.34224250055498756,0.06681318987709692,0.0614494217626193,0.040512227631191756,0.04031599049927141,0.03901661783287472,0.020529151898848325,0.0743023609907647,0.12966846191509515,0.18049720714871628,0.11034849093384869,0.06337232381276989,0.135936596615395,0.20990474224560596,0.21644306848282538,0.5449759695845158,0.5033564901652546,0.11928304596336035,0.07742030101110577,0.07321486263381911,0.07689220117941342,0.09371352195046968
Language,0.09734279835553311,0.2817380414965475,0.6677480257615462,0.28309099161218154,0.09014101741286455,0.2898813420125138,0.028131222335043008,0.21692575183293378,0.2683160135303492,0.21394611705115335,0.0640223016244292,0.055787247438896556,0.07321585716854587,0.3244434222401643,0.17397850326494513,0.6393574316291836,0.05672032545642165,0.4963485529572496,0.15847870593836258,0.05552033923429908,0.11083917051660801,0.19186400722655814,0.17179737802191555,0.13419385858020966,0.06009400434643194,0.03478704832294022,0.0684568644929445,0.07246402772263591,0.022577122287516918,0.17111557940864705,0.06847033551683698,0.04377665959664269,0.20149783537916793,0.03347513181639128,0.14935361083066728,0.2220044244980916,0.06481183597978796
Frontoparietal,0.14179948710980336,0.10124277532051403,0.4661296775768,0.24441805012712953,0.19084087158755794,0.08182174680986298,0.12205207014369131,0.2309999455722333,0.42993136352329486,0.1763311101612894,0.16420535075514092,0.22298645263423986,0.12996161767266096,0.7310310649715596,0.4203036661086471,0.2865144484743768,0.35621844466118674,0.22605570753598203,0.24326727961152964,0.2568348088563305,0.11264008646861255,0.18644080958703393,0.18815510341226785,0.10821358014737624,0.27964549936305383,0.14414687945824875,0.1825693108092519,0.15335308379125853,0.18112643645279383,0.13509986770438465,0.46391220592019866,0.3999008800455358,0.16808159897186523,0.07876825123325813,0.22528292963897378,0.17969222038217225,0.08711268743393404
Auditory,3.6328313966564385e-18,0.3904239219744406,6.342539091159589e-21,0.10550250866202673,0.4413733015203981,0.536233619217518,1.108154175495357e-18,5.369730312328049e-20,0.04653826521473701,4.265349374194607e-22,1.8417915191477492e-18,-1.6550845778274493e-19,0.7604268977093677,1.576908046074179e-26,5.4188634923488826e-18,0.6570504511000167,-5.100010339240333e-21,0.10139792329123207,-5.740972008198927e-20,-9.014958776197873e-19,0.40005224900449693,0.10926049812348546,0.2792521103786286,0.37033999956534513,0.02643385984511087,0.13805241512276623,0.18322911157501212,0.1515349038830376,0.7777542827619532,0.1768785956133276,9.515392839987033e-18,0.1536300948469849,0.015535855260689384,-1.3100676228610884e-20,1.3332930193796804e-20,4.377097040758169e-23,6.308167261854686e-20
Default-Mode,0.02555520717190609,0.005035931179276584,0.3570030146657477,0.15087098177884892,0.10495030120563574,0.0032572162620130374,0.08893306044962067,0.0642149321898399,0.46001584254310574,0.30572143567078053,0.04769786106348179,0.16664632052841952,0.311783605577208,0.3207170118224291,0.2244590417185118,0.1151376755510001,0.23340379435740835,0.9051517743171192,0.30920994416939424,0.10104258059433704,0.13550262281599076,0.11996686638861173,0.1547781147535326,0.05577629702497598,0.38673967040172097,0.2357374549972566,0.25656401777155774,0.17363129048695675,0.18530951555076164,0.08617909198113007,0.23302918631686073,0.21131929845221215,0.06632861065491993,0.03120389240270608,0.20652497296703057,0.05047892127583358,0.03712613092224266
Posterior Multimodal,0.026706003930168427,0.07888400004579335,0.04597189158982075,0.311508196680423,0.372717441950345,0.07773787473795132,0.009604144551237917,0.026236479635719612,0.09591452625760478,0.07907428061712084,0.0021466071455309797,0.0023548121340453546,0.6314051342370737,0.056701118225112965,0.13691307832573177,0.16847013871390237,0.241722225004369,0.3588015134765618,3.6705913691164e-19,0.0002852671175994593,0.29861860287279907,0.12492350623708741,0.7624683585739002,0.04905073288948786,0.3949531300951792,0.1602638795452519,0.6005452282533302,0.5018124985972028,0.6324023429414952,0.32205590990450544,0.6109013264950506,0.40254407468302145,0.3771978199000464,0.3146899306715895,0.007410629517778586,0.020746204957552018,0.20991149595750472
