,Action.Execution.Speech,Action.Execution,Action.Imagination,Action.Inhibition,Action.Observation,Action,Cognition.Attention,Cognition.Language.Orthography,Cognition.Language.Phonology,Cognition.Language.Semantics,Cognition.Language.Speech,Cognition.Language,Cognition.Memory.Explicit,Cognition.Memory.Working,Cognition.Memory,Cognition.Music,Cognition.Reasoning,Cognition.SocialCognition,Cognition.Spatial,Cognition,Emotion.Negative.Fear,Emotion.Negative.Sadness,Emotion.Negative,Emotion.Positive.Happiness,Emotion.Positive.RewardGain,Emotion.Positive,Emotion,Interoception.Sexuality,Interoception,Perception.Audition,Perception.Somesthesis.Pain,Perception.Somesthesis,Perception.Vision.Color,Perception.Vision.Motion,Perception.Vision.Shape,Perception.Vision,Perception
Primary Visual,0.347,0.12,0.894,0.894,0.761,0.191,0.962,0.848,0.966,0.742,0.55,0.972,0.141,0.994,0.866,0.683,0.197,0.973,0.762,0.903,0.862,0.897,0.33,1.0,0.013,0.075,0.024,0.075,0.399,0.268,0.6,0.193,0.983,0.333,0.996,1.0,0.472
Secondary Visual,0.026,0.055,0.986,0.617,0.572,0.08,0.648,0.542,0.621,0.493,0.027,0.63,0.985,0.857,0.946,0.279,0.162,0.894,0.975,0.601,0.835,1.0,0.675,1.0,0.897,0.997,0.979,0.13,0.455,0.003,0.758,0.762,0.574,0.003,0.869,0.86,0.513
Somatomotor,0.109,0.0,0.999,0.522,0.6,0.0,0.982,0.996,1.0,0.942,0.621,0.959,0.587,1.0,1.0,0.349,1.0,0.986,0.999,1.0,0.846,0.387,0.936,0.876,0.991,0.988,0.997,0.413,0.081,0.08,0.923,0.507,0.802,0.971,0.978,0.99,0.969
Cingulo-Opercular,0.014,0.026,0.875,0.101,0.011,0.012,0.228,0.225,0.537,0.169,0.078,0.08,0.926,0.498,0.712,0.116,1.0,0.991,0.346,0.877,0.107,0.177,0.261,0.0,0.996,0.992,1.0,0.628,0.973,0.106,0.667,0.387,0.47,0.681,0.004,0.0,0.039
Dorsal Attention,0.21,0.275,0.371,0.071,0.0,0.087,0.023,0.791,0.841,0.937,0.296,0.774,0.78,0.853,0.932,0.095,0.991,0.999,0.995,0.894,0.936,0.998,0.96,0.195,0.776,0.551,0.979,0.884,0.634,0.294,0.041,0.084,0.474,0.542,0.924,0.68,0.207
Language,0.711,0.675,0.037,0.356,0.896,0.627,0.827,0.116,0.343,0.212,0.642,0.66,0.796,0.334,0.455,0.02,0.847,0.089,0.326,0.531,0.318,0.205,0.356,0.271,0.934,0.833,0.751,0.862,0.991,0.444,0.99,0.996,0.19,0.691,0.392,0.139,0.397
Frontoparietal,0.921,1.0,0.004,0.435,0.941,1.0,0.123,0.0,0.0,0.18,0.233,0.006,0.894,0.0,0.0,0.211,0.001,0.499,0.004,0.0,0.313,0.055,0.241,0.352,0.179,0.252,0.186,0.856,0.859,0.896,0.126,0.381,0.089,0.553,0.026,0.061,0.239
Auditory,0.671,0.477,0.962,0.573,0.248,0.374,0.658,0.814,0.622,0.961,0.574,0.65,0.035,1.0,0.751,0.087,0.966,0.489,0.87,0.517,0.092,0.323,0.214,0.084,0.688,0.291,0.302,0.456,0.042,0.386,0.915,0.663,0.503,0.868,0.884,0.905,0.736
Default-Mode,0.998,1.0,0.148,0.867,0.982,1.0,0.49,0.718,0.017,0.017,0.905,0.21,0.055,0.369,0.265,0.953,0.226,0.0,0.002,0.339,0.238,0.421,0.459,0.796,0.053,0.035,0.055,0.617,0.717,0.95,0.933,0.956,0.846,0.922,0.174,0.818,0.792
Posterior Multimodal,0.951,0.955,0.966,0.249,0.238,0.964,0.974,0.823,0.845,0.659,0.995,0.997,0.005,0.957,0.586,0.645,0.249,0.198,1.0,0.996,0.036,0.38,0.0,0.662,0.127,0.254,0.003,0.018,0.009,0.138,0.1,0.38,0.017,0.024,0.992,0.855,0.031
