,Action.Execution.Speech,Action.Execution,Action.Imagination,Action.Inhibition,Action.Observation,Action,Cognition.Attention,Cognition.Language.Orthography,Cognition.Language.Phonology,Cognition.Language.Semantics,Cognition.Language.Speech,Cognition.Language,Cognition.Memory.Explicit,Cognition.Memory.Working,Cognition.Memory,Cognition.Music,Cognition.Reasoning,Cognition.SocialCognition,Cognition.Spatial,Cognition,Emotion.Negative.Fear,Emotion.Negative.Sadness,Emotion.Negative,Emotion.Positive.Happiness,Emotion.Positive.RewardGain,Emotion.Positive,Emotion,Interoception.Sexuality,Interoception,Perception.Audition,Perception.Somesthesis.Pain,Perception.Somesthesis,Perception.Vision.Color,Perception.Vision.Motion,Perception.Vision.Shape,Perception.Vision,Perception
VerbGeneration,0.98,0.932,0.001,0.598,0.019,0.955,0.261,0.059,0.0,0.0,0.021,0.0,0.85,0.001,0.002,0.56,0.132,0.549,0.033,0.0,0.008,0.035,0.482,0.134,0.259,0.669,0.803,0.112,0.081,0.708,0.073,0.125,0.0,0.662,0.205,0.012,0.607
ActionObservation,0.225,0.42,0.096,0.443,0.001,0.11,0.955,0.004,0.043,0.262,0.999,0.237,0.379,0.003,0.01,0.619,0.0,0.034,0.034,0.009,0.111,0.003,0.023,0.06,0.171,0.181,0.036,0.882,0.291,0.108,0.4,0.323,0.015,0.298,0.034,0.025,0.886
TheoryOfMind,0.524,0.149,0.059,0.51,0.002,0.087,0.453,0.155,0.0,0.0,0.131,0.0,0.122,0.57,0.818,0.439,0.069,0.0,0.259,0.017,0.235,0.834,0.43,0.546,0.432,0.189,0.033,0.788,0.462,0.878,0.015,0.021,0.242,0.961,0.616,0.681,0.175
VisualSearchMedium,0.463,0.025,0.103,0.138,0.035,0.008,0.742,0.108,0.148,0.834,0.671,0.067,0.048,0.262,0.955,0.002,0.655,0.023,0.189,0.078,0.239,0.482,0.212,0.602,0.423,0.697,0.946,0.281,0.243,0.18,0.431,0.345,0.002,0.069,0.602,0.204,0.316
Object2Back+,0.72,0.48,0.176,0.24,0.518,0.41,0.066,0.005,0.737,0.04,0.537,0.984,0.047,0.001,0.005,0.0,0.192,0.0,0.453,0.068,0.282,0.166,0.064,0.004,0.372,0.757,0.956,0.31,0.174,0.171,0.156,0.43,0.029,0.178,0.245,0.004,0.051
SadFaces,0.112,0.457,0.001,0.653,0.003,0.221,0.782,0.081,0.486,0.068,0.282,0.613,0.028,0.0,0.002,0.0,0.29,0.0,0.823,0.14,0.993,0.362,0.546,0.23,0.006,0.018,0.019,0.568,0.793,0.653,0.007,0.055,0.183,0.44,0.967,0.309,0.013
FingerSequence,0.005,0.0,0.215,0.148,0.021,0.0,0.974,0.121,0.033,0.13,0.112,0.605,0.417,0.1,0.077,0.042,0.0,0.0,0.013,0.055,0.945,0.907,0.563,0.4,0.009,0.032,0.021,0.457,0.116,0.009,0.835,0.198,0.259,0.905,0.817,0.425,0.179
Rest,0.041,0.196,0.074,0.073,0.007,0.188,0.196,0.051,0.137,0.165,0.151,0.849,0.107,0.814,0.484,0.005,0.761,0.0,0.151,0.566,0.551,0.988,0.024,0.05,0.247,0.47,0.98,0.181,0.329,0.099,0.071,0.118,0.118,0.086,0.474,0.033,0.03
AnimatedMovie,0.307,0.031,0.143,0.396,0.966,0.013,0.064,0.58,0.36,0.115,0.149,0.884,0.326,0.009,0.006,0.207,0.016,0.0,0.718,0.471,0.473,0.018,0.097,0.016,0.024,0.099,0.001,0.064,0.218,0.2,0.946,0.551,0.104,0.325,0.727,0.005,0.104
LandscapeMovie,0.003,0.006,0.894,0.201,0.197,0.007,0.475,0.006,0.807,0.794,0.005,0.083,0.018,0.064,0.723,0.0,0.923,0.0,0.245,0.08,0.098,0.121,0.14,0.007,0.002,0.019,0.071,0.973,0.768,0.0,0.189,0.115,0.008,0.079,0.046,0.001,0.001
FingerSimple,0.082,0.696,0.203,0.244,0.555,0.95,0.441,0.001,0.917,0.878,0.04,0.185,0.119,0.184,0.894,0.004,0.001,0.026,0.552,0.049,0.457,0.907,0.003,0.025,0.779,0.957,0.252,0.225,0.663,0.013,0.143,0.268,0.069,0.009,0.104,0.031,0.035
SpatialImagery,0.015,0.167,0.121,0.677,0.286,0.297,0.311,0.0,0.015,0.005,0.002,0.003,0.152,0.578,0.296,0.075,0.0,0.0,0.796,0.003,0.475,0.996,0.007,0.539,0.716,0.973,0.07,0.011,0.19,0.012,0.546,0.288,0.112,0.017,0.018,0.419,0.038
BiologicalMotion,0.033,0.046,0.923,0.43,0.098,0.088,0.145,0.446,0.201,0.143,0.005,0.07,0.129,0.956,0.67,0.808,0.0,0.006,0.861,0.946,0.191,0.049,0.356,0.024,0.095,0.849,0.188,0.659,0.717,0.523,0.039,0.25,0.103,0.208,0.706,0.027,0.425
MentalRotationMedium,0.53,0.389,0.667,0.462,0.018,0.239,0.445,0.001,0.355,0.026,0.577,0.375,0.007,0.016,0.448,0.015,0.002,0.008,0.771,0.037,0.913,0.14,0.589,0.368,0.58,0.763,0.937,0.465,0.362,0.023,0.003,0.007,0.048,0.246,0.311,0.223,0.003
SpatialMapMedium,0.101,0.03,0.799,0.235,0.004,0.015,0.07,0.262,0.06,0.003,0.212,0.43,0.03,0.016,0.08,0.0,0.296,0.0,0.665,0.877,0.766,0.486,0.437,0.02,0.056,0.183,0.132,0.581,0.628,0.042,0.104,0.112,0.149,0.514,0.363,0.01,0.021
Math,0.893,0.981,0.024,0.967,0.004,0.675,0.738,0.0,0.0,0.009,0.008,0.0,0.258,0.0,0.0,0.059,0.002,0.218,0.066,0.0,0.119,0.3,0.312,0.089,0.475,0.2,0.271,0.299,0.058,0.043,0.893,0.957,0.0,0.119,0.031,0.013,0.172
