,Action.Execution.Speech,Action.Execution,Action.Imagination,Action.Inhibition,Action.Observation,Action,Cognition.Attention,Cognition.Language.Orthography,Cognition.Language.Phonology,Cognition.Language.Semantics,Cognition.Language.Speech,Cognition.Language,Cognition.Memory.Explicit,Cognition.Memory.Working,Cognition.Memory,Cognition.Music,Cognition.Reasoning,Cognition.SocialCognition,Cognition.Spatial,Cognition,Emotion.Negative.Fear,Emotion.Negative.Sadness,Emotion.Negative,Emotion.Positive.Happiness,Emotion.Positive.RewardGain,Emotion.Positive,Emotion,Interoception.Sexuality,Interoception,Perception.Audition,Perception.Somesthesis.Pain,Perception.Somesthesis,Perception.Vision.Color,Perception.Vision.Motion,Perception.Vision.Shape,Perception.Vision,Perception
VerbGeneration,-0.0044257718648889255,0.010074238055506064,0.30364506517727974,0.04699472499696172,-0.2139348145620815,0.006109924348570212,0.08847255593204087,0.14944398707795106,0.46937468212486205,0.3048218113654891,0.21799160619137906,0.3162353808996649,0.015832531879339022,0.33127762368153274,0.275991936150419,0.052003228765171994,-0.13188486602181856,0.052182177141260576,0.1665876916815977,0.30074118026855756,0.21862249249880644,0.17081176789409216,0.05900740244463328,0.1166198194041747,-0.10096796274868976,0.034139422810285425,0.02096108391380121,-0.13363066806798887,-0.14411280144816782,0.03271208186978317,-0.1634261024051382,-0.14577567326862487,0.2741884471531235,0.0315816322715862,0.09865588774096617,0.22058793316778563,0.04092769917862209
ActionObservation,0.10398079082255843,0.06878897704347171,-0.12527541375949103,0.05722679416735212,0.309776310488069,0.13271430820407812,0.0037553716560736385,-0.19626409855527652,-0.1439283090207829,-0.07187097488886918,-9.848985660706365e-05,-0.07624101485508188,-0.0601168799742322,-0.2536834817110636,-0.2000899302278778,-0.04152315116352403,-0.23562786651757703,-0.15340858750997258,-0.14425914261118697,-0.18344321551075368,-0.09930649566458219,-0.19460675549252746,-0.16123607292245434,-0.12681200669704148,-0.09631402637357311,-0.08434326363372206,-0.14905778972308784,-0.009346113466348836,0.07694644451575267,-0.11128168643834642,0.06508017626650102,0.07617254883857168,-0.1615774073555443,-0.0676443234232369,-0.14677596873521295,-0.15052514277315895,-0.00754500790645055
TheoryOfMind,-0.0690119529093662,-0.1520010517857927,0.1739075115548751,-0.06005422754835091,-0.31622516035815024,-0.1819228349606354,-0.055015786541013,0.10855378196176677,0.4678108095203894,0.40685526755920187,0.12226306300184438,0.2870484659724505,0.12374082135159581,0.055160870615844224,0.018464975616280823,-0.06471181297827015,0.155133603250121,0.4784510151747661,0.08091213208564377,0.1916101405718905,0.0870411130197052,0.014103499270423172,0.0628580167061605,-0.04624334949978833,0.062355541565022335,0.09345635820800731,0.16345788415723095,-0.024329779962838437,-0.0617292526959678,-0.013986717259110552,-0.21880225853416937,-0.22119244663718718,0.08401569021587316,0.004346321198426828,0.03963265217719503,-0.0299240822831022,-0.09514542702229235
VisualSearchMedium,0.059438434272365316,-0.17800549367391313,-0.12708052304281234,-0.10391386931795783,-0.14789096273626018,-0.2255764688443118,-0.02270253702046275,-0.10202780424907051,-0.09741009219505213,-0.013192899838136365,-0.024783699533576602,-0.11049312847122339,0.13070116207506877,-0.08701298353679575,-0.0035060690000333285,-0.22418131972977903,0.03063839572754161,0.1491640987461054,0.08477802973144508,-0.10327755961863187,-0.07085363447169848,0.04608417431791097,-0.08008935356705078,-0.03426044890597359,0.05887819515584824,0.025378570015767196,-0.003964372521680181,0.07486581369830768,0.08050727224825603,-0.08700755637728329,-0.058236763505679,-0.07039617046871559,-0.1967620625454298,0.11278436842187663,-0.031591556018062274,-0.07616616167357022,-0.059391058780024326
Object2Back+,0.030607627975192574,-0.05976439218226907,0.10097491540359611,0.08928944341549751,0.04389623204442353,-0.0679160401167973,0.11688440039158869,0.19462863985981066,-0.0261462323336834,-0.14138174732670633,0.04142308533610603,-0.0015617144332528343,-0.13912235296969164,0.2947504649482985,0.19955303313989967,0.2584547534125038,0.0967529895623016,-0.34275360742513805,0.04899401301136025,0.12288096452196526,0.06612520679218141,0.0868465135618903,0.12963869753067894,0.1844637383340563,-0.06536510174864317,-0.018922747136418595,-0.004945132784289585,-0.07392742490624668,-0.09838024971212567,0.09430157731244455,0.10346924167846716,0.06069997439230937,0.1418073415930053,0.08265702812803907,0.07702844405023572,0.2080736589149947,0.12945002720873666
SadFaces,-0.13347194004419732,-0.058975790610052266,-0.23773803984202233,-0.030081059976619032,-0.21364987243817604,-0.09875010286315712,-0.01698478368840379,-0.11143419545550798,-0.050102718348122265,0.11814763123977633,-0.07229707827839148,-0.03071145783248142,0.14093433411936662,-0.2992724266156426,-0.20991836380548526,-0.32491184895084674,0.0745768243841063,0.2822273922308407,0.012707423242863065,-0.0907217906234652,-0.0007713440978389467,-0.05729300813601776,0.037917987078075435,-0.07240383176950745,0.20014506116585792,0.1448397137950037,0.16488220998090153,0.03765313178000195,-0.01753268442464774,-0.02792904456528076,-0.18392490548736992,-0.14298005278019785,-0.07864149368300233,0.04790502405730327,-0.0032257216768386224,-0.06404914503790328,-0.14564070335603568
FingerSequence,0.23698509960397282,0.4615872535754155,-0.09661356765501851,0.10959352402145055,0.17343634149969192,0.47326917917672984,0.0022610082093074053,-0.10369192504978687,-0.16313865499188793,-0.10065224371590312,0.11683293709092177,-0.03501460076973324,-0.054843303554782646,-0.13641061186196146,-0.12797950517527235,0.1548106840718742,-0.2993456885326406,-0.33410675681184304,-0.16602255923166573,-0.12560731814375736,-0.004132795562522653,0.008649355113533356,-0.03651156651494156,0.058587139165545185,-0.1893068345272803,-0.14588644837684864,-0.16407311542072,0.05515162202297048,0.11800777013570186,0.17462389225642871,0.01611491143388863,0.10391308194125173,0.07587595121859479,-0.006913135782714576,-0.016871789326115674,0.05110759347239038,0.08870200471652824
Rest,-0.1701863372081991,-0.10766148142304961,0.13768832655102528,-0.1332581900167072,-0.20366256179573936,-0.10584158223598612,-0.08487947328857269,-0.1375854108862864,0.10715184136025685,0.0900584590657816,-0.1013832629529507,-0.013061124009707848,0.10838229502364839,-0.018270101505957766,0.04765141743810159,-0.18478470494473928,-0.021120937712423724,0.3203790641118122,0.09813869701724667,-0.037431196570860054,-0.0377548392388955,0.0010758416150882246,-0.1624048513659041,-0.13151689876322364,0.08308062164700176,0.047961577779800806,0.002027924943005624,-0.09697135126105409,-0.07109718069837818,-0.1117146102164205,-0.13428505583019754,-0.11456405974719651,-0.10190965813972967,-0.10272489543236558,-0.048389343261095355,-0.13400385534911793,-0.13536911814183414
AnimatedMovie,-0.097570797779782,-0.23062898305251642,-0.12152634663046612,-0.06437158080400367,-0.003937429071707179,-0.2347697516525875,-0.13360082767969986,-0.037629603342037576,0.07533661295856259,0.11691718705098557,-0.10824317656115638,0.009692540386034796,0.07412968908630103,-0.24552407588260525,-0.21041617050756586,-0.10275302725307735,0.21323007581547956,0.48612400740190176,-0.0278701806851169,-0.04977655168826491,-0.047349553558427154,-0.18571110619367953,0.12364701677999602,-0.17365243250262383,0.17882144636012468,0.11333442454695186,0.2403888807462709,0.14641256958464705,0.09393909298863337,-0.09662506589053149,0.0052833940926452294,-0.049932165603157566,-0.1199605173315487,-0.06089912097352913,-0.028258628949207786,-0.2220256257670475,-0.10915699156570226
LandscapeMovie,-0.25343432762444607,-0.2598658909324891,0.009347525788268625,-0.09651020544790159,-0.09485587102052304,-0.25101726871057845,-0.04686561366023999,-0.1956257709315526,-0.016854494683305705,0.015573288803905277,-0.1990466925358389,-0.11621902050163344,0.1663707944924481,-0.14832941252032686,-0.02333229241615876,-0.3144314810738792,-0.007887989936720088,0.26269180839884876,0.07864037760844315,-0.11170062445664994,-0.10987910244228731,-0.10543646730762467,-0.10122076583845849,-0.1977438561701886,0.2281482288748544,0.15899023349382874,0.12329365213765414,-0.002874284936197164,-0.02104018312318213,-0.2298540897884508,-0.09855415930602084,-0.11861783938298195,-0.17711344913729118,-0.1089315296546713,-0.13579542449802187,-0.22241363206743422,-0.20916858246706035
