,Action.Execution.Speech,Action.Execution,Action.Imagination,Action.Inhibition,Action.Observation,Action,Cognition.Attention,Cognition.Language.Orthography,Cognition.Language.Phonology,Cognition.Language.Semantics,Cognition.Language.Speech,Cognition.Language,Cognition.Memory.Explicit,Cognition.Memory.Working,Cognition.Memory,Cognition.Music,Cognition.Reasoning,Cognition.SocialCognition,Cognition.Spatial,Cognition,Emotion.Negative.Fear,Emotion.Negative.Sadness,Emotion.Negative,Emotion.Positive.Happiness,Emotion.Positive.RewardGain,Emotion.Positive,Emotion,Interoception.Sexuality,Interoception,Perception.Audition,Perception.Somesthesis.Pain,Perception.Somesthesis,Perception.Vision.Color,Perception.Vision.Motion,Perception.Vision.Shape,Perception.Vision,Perception
Eye,0.7842518718702616,0.9044657265694082,0.04753589387758704,0.12197828647116438,0.04614317209738736,0.6555225635643982,0.08609654246959396,0.14404960876377879,0.28319606026492483,0.17081205310112163,0.42843737505989843,0.09850363513922666,0.12278358684758965,0.23580713623585026,0.08398425760333485,0.1087905114502907,0.45052310504087173,0.04835948738597021,0.05761061044189234,0.11212135281975542,0.015815362749445352,0.02460909810346299,0.10165391704326629,0.013580298734855735,0.306491010819517,0.10358376744078132,0.12990212203008758,0.308256913619404,0.3095347748856757,0.6279871493223693,0.1360233740177812,0.123458968123207,0.07796735163510828,0.39351371195278734,0.04729734901404731,0.021020600249948226,0.0554167198522852
Mouth,0.9175299677153065,1.7285320491775675,0.029751213382198573,0.3234907218142355,0.1628527165934269,1.4771746692061265,0.024089689354022444,0.04117594818855025,0.06753733468498625,0.12616840547482777,0.28576431702354116,0.10794112911208704,0.16272106888383409,0.01048060504623697,0.047793436094030244,0.1849412177745945,0.12444520248115898,0.05379264349228469,0.04516873034155618,0.01734123364645171,0.05704812123157894,0.05424858667162427,0.11156254066819564,0.09997573616384264,0.41832300473338013,0.15235742198710978,0.19454239250186464,0.3599104430839614,0.3651415045169167,0.2993252691995726,0.4249496711317406,0.7558586301219546,0.18397963978778364,0.18654690631764806,0.10187286597076244,0.0866733615609348,0.12400678062122474
Hand & Upper,0.41988650328462657,1.5305202351486313,0.08411553783050675,0.3317930700995538,0.17833100759920012,1.3631300475730557,0.02012440310752053,0.015062529123690657,0.011676449974480117,0.047222203898880384,0.14498005029343977,0.020958376680011097,0.29190112852456646,0.0015726546549009797,0.026085010030848097,0.14332534441408668,0.024362833269215012,0.04176950235796238,0.011931052994459389,7.727323354067625e-20,0.04736973618607906,0.21262058405279516,0.16865098606718867,0.028329020697054032,0.08868079890175679,0.009259475375386792,0.08508480155676981,0.32335380938608704,0.39044112489345967,0.3861128226685003,0.2485792612791014,0.39028334993573793,0.1553664226310716,0.06035700720313018,0.01301656200521061,0.00721823965828592,0.026884659685154366
Foot & Lower,0.026160542860081053,0.12196841410679565,0.03806843202670956,0.1599527872814213,0.2496548675866832,0.16450378858634054,0.11429853693426742,0.00028232616286756975,0.026438206525469625,0.05503230599013019,0.07454159704999841,0.05547126645244367,0.4012972708810629,0.009045646674917756,0.09414421601097124,0.06436961127431223,0.032086055473832614,0.0920257453195679,0.015515984334911593,0.0010011677575416389,0.09089218286925163,0.012063379015795721,0.10077767969767881,0.10992316864568419,0.2519301966145994,0.10711912352546756,0.09710782550365492,0.16828995811662706,0.3660284375703995,0.04836217652441578,0.35120832721015366,0.24344261235094045,0.06266510871449307,0.009741981864860248,0.06513044459014412,0.009789880102689517,0.015080698810163438
Spatial simulation,0.1842244291831618,0.93472792132667,0.08360625960414811,0.11807504249621556,1.3652913492752492,1.1037619754474843,0.04911439696922564,0.01177313435365832,0.040098064225435985,0.01597647741199281,0.01384693033782027,0.01691432692390402,0.017509828118829614,0.0018539007693507198,0.002792798754671076,0.07119000647704384,-2.0411858697885936e-21,0.23085200569720793,0.004009788936573238,-1.310530997228486e-20,0.08962431639699615,-1.280333697184913e-23,0.2842292865302918,0.03758830138229245,0.00421251924156604,0.0071836360715470185,0.03709865103745893,0.4895487758767079,0.21683894453173472,0.2724830491525561,0.6188508836094229,0.5586407851974974,0.04569028175451434,0.14790177547353717,0.12238281520239205,0.009002501128426979,0.10543943902659372
Action observation,0.05906588024486715,0.6955196318833339,0.04994978587047026,0.4334938190437007,0.529499974710691,0.7309768355667439,0.1656187155660834,0.031305440350094825,0.0777946343500866,0.28767849274376417,0.21956804929501048,0.21856603416366174,0.14266720027264865,0.003820368608693363,0.014614066295466204,0.20927185148881086,0.013156115691325623,0.06634517429556175,0.10028502566013037,0.008781010911826186,0.024725049706258117,0.050695584650602504,0.008323378097464572,0.08989683506288193,0.1627139421634437,0.06243224020427475,0.02460629298162413,0.24339281299009752,0.43783992290886353,0.12246607469450976,0.4173545449106886,0.3339348816066445,0.06800684983529215,0.01745631751599071,0.2866761889212835,0.10657260398380958,0.02326068188340867
Motor imagery,0.45386292082301444,0.6585107708869802,0.007503608851613237,0.3579964970391838,0.5641830837169144,0.6721263327111764,0.13495092921263108,2.221073285436244e-05,0.004057808614220604,0.0026066134920219625,0.006599891576631928,0.0007388242482488656,0.13208890346822824,0.007593029762126631,0.016747265268726587,0.38397908206791576,0.0025730410909157635,0.0018993804673698282,0.010600535802820077,4.5610435289888875e-22,-4.003578892697108e-19,-2.6664006134478438e-28,0.0023757435846691434,0.01129490618969588,0.09630934900782957,0.037293742500825594,0.010858911084889815,0.07428768182012481,0.28306146521447284,0.1482201054554308,0.3160269115188789,0.19645988548713522,0.007139119827966551,0.003400194499669643,0.02082750734498215,1.724717708545786e-19,0.0024843595439279316
Spatial WM,0.5105765708813151,0.390943583933358,0.3366850019947569,0.22438556058783854,0.23222130085527073,0.2855131243517246,0.11811306277958039,0.3462479070952876,0.5031591919479976,0.2984415087166273,0.38880865830975253,0.34102527127124393,0.054817080501872895,0.7445910990239678,0.37628552041753344,0.5617343069986682,0.5324077429062273,0.16637298147528568,0.13566783612133257,0.3784190544198187,0.06568208659191499,0.06403527795703425,0.20068351073907806,0.09956995813414798,0.15380515905080078,0.12797443533290448,0.1617697295125953,0.1337672035056216,0.18632352185986673,0.35615224920218286,0.44922625229155055,0.3618447253892735,0.22031563714697797,0.2288305108390906,0.17061670100344253,0.13135482980845126,0.08261905973850184
Retrieval,0.11415646505968546,0.25708711306813076,0.5811873106371844,0.24738850853481992,0.4724582401177668,0.31321610640462705,0.10078921247660551,0.11628620426910477,0.21634549482567403,0.05231611670702089,0.06101513999453912,0.06308439870093047,0.07451124337509467,0.5419863948949508,0.288093088540384,0.37788950935352644,0.14505141281283057,0.0918851123408116,0.13535806395570163,0.1247095909475539,0.05722932405753114,0.058110340760398095,0.07752082138548722,0.05773640042546333,0.1614559297309275,0.0991718302230307,0.09584089060219812,0.0721008175386226,0.1475531034595301,0.1451267560489754,0.46262234390725215,0.39578682845003565,0.11428711149096092,0.03697489418603169,0.09280059922564374,0.06589784166227973,0.05584939909340529
Verbal WM,0.33636139197638476,0.5589153791596503,0.21095462851652802,0.40521646508094056,0.45553493809807316,0.5491578730688662,0.15171738513676788,0.15450599058298622,0.2407032673829464,0.0868676315696285,0.1148595902971846,0.12449064651473403,0.16692996079485048,0.4802200990075549,0.2902319927458693,0.46733724153462064,0.07401281170959126,0.07000196407988574,0.1890263524852945,0.07542434746804863,0.23650950831223802,0.2934548623037453,0.3423525786485754,0.2977987700782781,0.0808403645691983,0.06491051222697249,0.12844076059850823,0.23471674300805803,0.22160100910942893,0.24968630999374333,0.5376184194180075,0.5202198204416362,0.20443354167383698,0.10359767623166467,0.3399707055504721,0.45074599398738885,0.2090611523382479
