domain,subsample_label,corr
Interoception,0.2,0.19157038151171832
Interoception,0.4,0.3754954745849434
Interoception,0.6,0.5870681685844223
Interoception,0.8,0.7990996301781884
Emotion,0.2,0.18710141640477032
Emotion,0.4,0.3667040056664082
Emotion,0.6,0.5906853429419925
Emotion,0.8,0.7900138218494258
Action,0.2,0.515649961971487
Action,0.4,0.7442356094417745
Action,0.6,0.857124567253622
Action,0.8,0.9412206359511258
Perception,0.2,0.12253024768896963
Perception,0.4,0.26474202316409823
Perception,0.6,0.4698325752274408
Perception,0.8,0.6908262921554779
Cognition,0.2,0.22590546603628645
Cognition,0.4,0.5192491295955292
Cognition,0.6,0.6934836966288727
Cognition,0.8,0.8787437139507611
