domain,subsample_label,corr
Interoception,0.2,0.17736623226370332
Interoception,0.4,0.17255816060855625
Interoception,0.6,0.12893559068701727
Interoception,0.8,0.0705249466537836
Emotion,0.2,0.16126699428433985
Emotion,0.4,0.1556350761867478
Emotion,0.6,0.1238252065578524
Emotion,0.8,0.08113795401135392
Action,0.2,0.13359054852788313
Action,0.4,0.0905025370734435
Action,0.6,0.052279397404611024
Action,0.8,0.027347888109479458
Perception,0.2,0.13843778091849504
Perception,0.4,0.146048133370266
Perception,0.6,0.14198266632494413
Perception,0.8,0.1127452872765159
Cognition,0.2,0.166008883962131
Cognition,0.4,0.16310388437453888
Cognition,0.6,0.10629390832889721
Cognition,0.8,0.05559572392136022
