,Action.Execution.Speech,Action.Execution,Action.Imagination,Action.Inhibition,Action.Observation,Action,Cognition.Attention,Cognition.Language.Orthography,Cognition.Language.Phonology,Cognition.Language.Semantics,Cognition.Language.Speech,Cognition.Language,Cognition.Memory.Explicit,Cognition.Memory.Working,Cognition.Memory,Cognition.Music,Cognition.Reasoning,Cognition.SocialCognition,Cognition.Spatial,Cognition,Emotion.Negative.Fear,Emotion.Negative.Sadness,Emotion.Negative,Emotion.Positive.Happiness,Emotion.Positive.RewardGain,Emotion.Positive,Emotion,Interoception.Sexuality,Interoception,Perception.Audition,Perception.Olfaction,Perception.Somesthesis.Pain,Perception.Somesthesis,Perception.Vision.Color,Perception.Vision.Motion,Perception.Vision.Shape,Perception.Vision,Perception
Left I-IV,0.626,0.64,0.919,0.432,0.985,0.742,0.966,0.633,0.987,0.928,0.87,0.629,0.007,0.938,0.431,0.555,0.304,0.444,0.956,0.806,0.097,0.282,0.029,0.265,0.177,0.169,0.031,0.002,0.0,0.707,0.046,0.134,0.252,0.108,0.081,1.0,0.616,0.083
Right I-IV,0.896,0.404,0.951,0.132,0.869,0.469,0.825,0.461,0.637,0.605,0.999,0.926,0.143,0.997,0.615,0.902,0.755,0.565,0.962,1.0,0.139,0.395,0.282,0.934,0.415,0.476,0.337,0.226,0.003,0.072,0.008,0.147,0.196,0.024,0.113,0.882,0.903,0.122
Left V,0.096,0.079,0.585,0.88,0.929,0.151,0.786,0.361,0.9,0.656,0.096,0.317,0.129,0.983,0.926,0.905,0.914,0.674,0.753,0.876,0.745,0.047,0.293,0.251,0.49,0.582,0.6,0.008,0.011,0.793,0.05,0.444,0.297,0.636,0.405,0.94,0.945,0.668
Right V,0.544,0.003,0.994,0.113,0.833,0.005,0.947,0.866,0.966,0.332,0.547,0.694,0.681,1.0,0.925,0.828,0.899,0.727,0.733,0.935,0.622,0.791,0.931,0.953,0.258,0.402,0.848,0.45,0.459,0.015,0.548,0.717,0.171,0.076,0.32,0.411,0.59,0.44
Left VI,0.0,0.021,0.518,0.427,0.873,0.04,0.944,0.031,0.25,0.263,0.085,0.081,0.994,0.813,0.937,0.019,0.44,0.716,0.467,0.646,0.62,0.455,0.903,0.018,0.992,0.912,0.975,0.414,0.628,0.206,0.334,0.027,0.003,0.777,0.187,0.339,0.335,0.025
Vermis VI,0.084,0.079,1.0,0.823,1.0,0.169,0.256,0.218,0.295,0.098,0.056,0.224,0.687,0.416,0.736,0.569,0.084,0.63,0.832,0.159,0.995,0.989,0.555,1.0,0.304,0.582,0.273,0.834,0.521,0.002,0.145,0.685,0.482,1.0,0.074,0.748,0.82,0.229
Right VI,0.028,0.032,0.999,0.236,0.735,0.036,0.213,0.316,0.238,0.156,0.002,0.099,0.201,0.248,0.246,0.454,0.739,0.845,0.454,0.185,0.04,0.305,0.093,0.077,0.771,0.378,0.415,0.788,0.683,0.048,0.423,0.888,0.567,0.046,0.01,0.052,0.031,0.181
Left Crus I,0.752,0.992,0.229,0.863,0.555,0.998,0.895,0.154,0.879,0.899,0.981,0.748,0.549,0.043,0.06,0.636,0.009,0.034,0.064,0.48,0.712,0.063,0.448,0.325,0.354,0.734,0.691,0.213,0.741,0.863,0.45,0.469,0.477,0.95,0.811,0.001,0.474,0.564
Vermis Crus I,0.489,0.624,0.99,0.997,0.952,0.931,0.174,0.027,0.041,0.473,0.444,0.344,0.996,0.084,0.472,0.911,0.0,0.157,0.23,0.043,0.972,0.914,0.255,0.866,0.338,0.679,0.325,0.838,0.407,0.158,0.694,0.993,0.973,0.88,0.458,0.096,0.284,0.747
Right Crus I,0.827,1.0,0.335,0.563,0.983,1.0,0.007,0.048,0.0,0.019,0.037,0.005,0.488,0.0,0.0,0.726,0.212,0.115,0.0,0.0,0.003,0.005,0.141,0.01,0.222,0.044,0.098,0.937,0.976,0.961,0.823,0.958,0.969,0.049,0.288,0.035,0.001,0.064
