,Action.Execution.Speech,Action.Execution,Action.Imagination,Action.Inhibition,Action.Observation,Action,Cognition.Attention,Cognition.Language.Orthography,Cognition.Language.Phonology,Cognition.Language.Semantics,Cognition.Language.Speech,Cognition.Language,Cognition.Memory.Explicit,Cognition.Memory.Working,Cognition.Memory,Cognition.Music,Cognition.Reasoning,Cognition.SocialCognition,Cognition.Spatial,Cognition,Emotion.Negative.Fear,Emotion.Negative.Sadness,Emotion.Negative,Emotion.Positive.Happiness,Emotion.Positive.RewardGain,Emotion.Positive,Emotion,Interoception.Sexuality,Interoception,Perception.Audition,Perception.Olfaction,Perception.Somesthesis.Pain,Perception.Somesthesis,Perception.Vision.Color,Perception.Vision.Motion,Perception.Vision.Shape,Perception.Vision,Perception
Primary Visual,0.2947981282146592,0.9188951824006818,0.0728560627204644,0.0695021569124032,0.15470737816127242,0.6591316292881317,0.011991514164989028,0.0218760575194127,0.04785559726573437,0.051648890609103534,0.08313482820160187,0.009296565544742416,0.27660858529406124,0.02013432097234247,0.06287757275502541,0.15018012855385532,0.2702285935666882,0.03679227538497027,0.06624650579390454,0.009936379242974969,0.020111530151304957,0.023175459136410247,0.15202693945968282,0.00030060701487053416,0.5567725813864255,0.23405159684509236,0.3408477859465807,0.36638601449729674,0.33525120736482084,0.2324630180503256,0.2090057256328876,0.2835018216988463,0.4865993368834188,0.010275689196890637,0.09117574938961034,0.00779810733058096,-1.011046629918106e-21,0.040502718080219324
Secondary Visual,0.7850714540913998,0.9656462327634997,0.03307139890429908,0.17360540231184424,0.24061939670440663,0.7914538680814727,0.0532833333754394,0.05512851217542448,0.17668663972190754,0.096086464719446,0.3456688591174048,0.06046166411293688,0.034193136597707646,0.11431792626416619,0.051533649964582644,0.3067907222038299,0.25570224891027676,0.08145741142117773,0.02831223210979235,0.044241297511167905,0.028840321759608246,8.82782851393363e-05,0.09213627826350368,9.244459904469242e-20,0.08233702369434899,0.006424602882790417,0.01985058228125654,0.3119072798346052,0.1967719229357478,0.4865085121514018,0.03695574574551455,0.28561009480683686,0.26556705485408094,0.08340231988348899,0.36828875822097074,0.041608708162091966,0.022311261155917257,0.04167299969713261
Somatomotor,0.4704919538750978,1.5046936183688433,0.04062139932309876,0.24124362776849065,0.24464156523082997,1.3782534954319392,0.020452902041762238,0.023160158089043873,0.008920792725120894,0.05320988908887545,0.09071595228781228,0.03985058717084895,0.15514753336733528,0.0017344664041375462,0.00936303350768979,0.2716922555943698,0.014496778967061795,0.057231421819737255,0.013045670154180934,0.0006649867770590481,0.037926089948881046,0.11376989561405444,0.055183693188397,0.032412404119244155,0.07206623551622095,0.0292835623857535,0.03093646179771373,0.19854569776528777,0.3235926850634924,0.29777726081364037,0.08882975657412008,0.25046415341900713,0.38005835419210415,0.09710603311340578,0.017423207543537267,0.04698130809857643,0.01254695828148262,0.013582066007808508
Cingulo-Opercular,0.5844053609541041,0.8724073620267908,0.14422712140428534,0.33433024895632446,0.48226995688531504,0.8143329844310965,0.09038363586535451,0.15462588514849565,0.2197713103562361,0.20590546169752508,0.22415746513013196,0.21917325496586634,0.14758857994084587,0.26956431324485663,0.17022829334242706,0.33492507111592834,0.024953882353839066,0.07118143128699021,0.14795069590086504,0.03129615308917278,0.14793687793597846,0.16745220498695562,0.18331318576648192,0.24539541373444532,0.06740398181114042,0.028024117812264826,0.02853108346675159,0.18402198132967224,0.1442036629867834,0.2707984861847557,0.09249111581815578,0.3555546910495396,0.43846282277673315,0.11344149731434636,0.06194351298854482,0.31664064522645113,0.30880344539822674,0.11398097416660247
Dorsal Attention,0.34436606187941526,0.5806949877150417,0.2661171660695014,0.3130141619187928,0.6929834188013294,0.623819012917676,0.15202366078654955,0.11688034554483047,0.16228205123784034,0.0603338436505761,0.14918462077452185,0.07819712675189441,0.18870248743046433,0.19067154911285245,0.10373905267021956,0.34224250055498756,0.06169266882707036,0.0614494217626193,0.040512227631191756,0.03478777316280126,0.037748637303084566,0.06746227592360782,0.07299367383078825,0.137223868635482,0.17901101789519777,0.11262328525930114,0.09016702071194932,0.13013511674905892,0.19016224522562977,0.21308129921906022,0.0745012566019274,0.5427419003036584,0.48717606595585244,0.10917000541378165,0.07314301793890197,0.07124565249917496,0.06969935328156833,0.08229085092384648
Language,0.09452295083405453,0.2697528252981841,0.6347212821589349,0.2587708803076693,0.09014101741286455,0.25651647328477545,0.017926483038458573,0.18294648060467888,0.2683160135303492,0.19344835209957967,0.06171250122195147,0.04313655564643464,0.06540150115371489,0.30166383685431536,0.16271696970324495,0.6393574316291836,0.05037869726811331,0.4963485529572496,0.15847870593836258,0.03949239038663048,0.1069858993051366,0.18091172724932028,0.1647310236396212,0.14554389818183402,0.05366749199341715,0.04054969968188942,0.07041743342708985,0.0663597260249329,0.00969357899132299,0.16720749197723525,0.10215182089778238,0.0556625095521304,0.03155139342513011,0.18507135021054674,0.0306690464194351,0.13616979328059106,0.21567627013017096,0.05927422052094771
Frontoparietal,0.13646963591769093,0.09815697523615102,0.44853631987126596,0.2508666661392807,0.19084087158755794,0.0760922903141174,0.11647527027330343,0.21305018093214842,0.42993136352329486,0.15940117065512327,0.15651767973246938,0.20338134660616228,0.12975182325122403,0.7455546483805102,0.4320490847249813,0.2865144484743768,0.34440490124968015,0.22605570753598203,0.24326727961152964,0.2408582315300392,0.11454479625111165,0.1782364920434721,0.18391017206938015,0.12010327979649818,0.25440861722702857,0.13907004249148458,0.17118981209366177,0.16998200265727606,0.1812989973957825,0.1342966421250266,0.08009686875748862,0.4380322738570438,0.3761962847908406,0.16520173193355162,0.07166800527250931,0.2184164111396742,0.18687981500231113,0.0790298231591925
Auditory,3.8840022684107204e-18,0.38360976173712713,2.080148587201405e-20,0.1415764083439133,0.4413733015203981,0.5187362615829858,0.00931268512128682,0.11761331785351893,0.04653826521473701,-8.190619095282638e-20,6.905427695239581e-18,9.948226928674097e-18,0.7108120518871488,5.685388915244636e-27,-5.557337282502177e-19,0.6570504511000167,2.339842575431624e-20,0.10139792329123207,-5.740972008198927e-20,0.02438190563804477,0.3850518228385557,0.08113979076998705,0.21830591222170576,0.34494985875937395,0.031682100761384245,0.16438379482073004,0.2085875425784131,0.1381085130030886,0.6464682753942744,0.1735675856261321,0.07947263813698832,9.822593467979165e-18,0.10816930220785001,0.005444281818382954,-3.5406035199027833e-19,7.014705720734367e-21,1.957130156479738e-23,-3.7092100129074725e-20
Default-Mode,0.024313140658537,0.0050483778298700465,0.33766683657643787,0.16188075457965942,0.10495030120563574,0.003977437892845621,0.1171689321906205,0.051978691891290674,0.46001584254310574,0.2766794344910437,0.044354802626749096,0.14042026213607278,0.2871078043776802,0.3455664895750609,0.24784681691381164,0.1151376755510001,0.2509044364927108,0.9051517743171192,0.30920994416939424,0.10097848039649117,0.14371010275541377,0.10798641328942805,0.14427520181599232,0.053641902250584246,0.35945631556067614,0.22067453205478263,0.23160024285070688,0.17485034742518724,0.18686699140002044,0.08460540965262774,0.09988040090247495,0.2207856835876064,0.19709190917404878,0.072902349054625,0.02896152338371688,0.19136778638493435,0.10000828994322004,0.07164931490580774
Posterior Multimodal,0.02582662174560841,0.08646911241866696,0.041947920192855044,0.26774236704545934,0.372717441950345,0.07178023932985186,0.011161012823808231,0.06698695355656557,0.09591452625760478,0.06488808205097969,0.00233755636673584,0.00357109536807268,0.5694744502620678,0.049879134154361265,0.09278907721527464,0.16847013871390237,0.23068669549569412,0.3588015134765618,3.6705913691164e-19,0.0029653756009967334,0.29223853925561966,0.10447483517441618,0.7168416881863895,0.04485503868056114,0.35434764187657014,0.14005468061622747,0.5436694169962196,0.48328496187118203,0.6615283550851371,0.35112093068495726,0.23898897087480309,0.602576178439975,0.3733055568653301,0.3501177318495126,0.3051585795699634,0.006398639819398232,0.012589232944265711,0.19634496577652155
