,Action.Execution.Speech,Action.Execution,Action.Imagination,Action.Inhibition,Action.Observation,Action,Cognition.Attention,Cognition.Language.Orthography,Cognition.Language.Phonology,Cognition.Language.Semantics,Cognition.Language.Speech,Cognition.Language,Cognition.Memory.Explicit,Cognition.Memory.Working,Cognition.Memory,Cognition.Music,Cognition.Reasoning,Cognition.SocialCognition,Cognition.Spatial,Cognition,Emotion.Negative.Fear,Emotion.Negative.Sadness,Emotion.Negative,Emotion.Positive.Happiness,Emotion.Positive.RewardGain,Emotion.Positive,Emotion,Interoception.Sexuality,Interoception,Perception.Audition,Perception.Olfaction,Perception.Somesthesis.Pain,Perception.Somesthesis,Perception.Vision.Color,Perception.Vision.Motion,Perception.Vision.Shape,Perception.Vision,Perception
VerbGeneration,0.962,0.825,0.002,0.421,0.026,0.837,0.297,0.268,0.0,0.0,0.011,0.0,0.755,0.009,0.014,0.583,0.149,0.392,0.06,0.0,0.015,0.09,0.554,0.155,0.49,0.406,0.605,0.094,0.105,0.61,0.516,0.057,0.11,0.0,0.638,0.53,0.022,0.725
ActionObservation,0.229,0.459,0.126,0.453,0.001,0.136,0.92,0.013,0.059,0.34,0.975,0.316,0.376,0.001,0.01,0.849,0.001,0.038,0.038,0.012,0.167,0.002,0.077,0.088,0.252,0.192,0.077,0.714,0.549,0.139,0.126,0.212,0.322,0.047,0.447,0.044,0.044,0.728
TheoryOfMind,0.523,0.143,0.058,0.448,0.002,0.088,0.698,0.565,0.0,0.0,0.135,0.004,0.261,0.696,0.986,0.439,0.051,0.0,0.259,0.013,0.273,0.941,0.444,0.65,0.465,0.206,0.055,0.544,0.354,0.857,0.969,0.012,0.012,0.332,0.967,0.641,0.733,0.173
VisualSearchMedium,0.546,0.039,0.082,0.351,0.03,0.011,0.883,0.297,0.345,0.841,0.686,0.21,0.09,0.417,0.679,0.005,0.791,0.032,0.081,0.11,0.671,0.383,0.27,0.644,0.453,0.665,0.935,0.219,0.195,0.167,0.39,0.517,0.508,0.005,0.094,0.77,0.566,0.784
Object2Back+,0.759,0.433,0.159,0.285,0.518,0.347,0.343,0.005,0.737,0.056,0.486,0.865,0.101,0.0,0.01,0.0,0.273,0.0,0.453,0.137,0.329,0.133,0.039,0.003,0.368,0.888,0.858,0.417,0.247,0.174,0.923,0.186,0.393,0.066,0.192,0.244,0.008,0.17
SadFaces,0.125,0.478,0.001,0.495,0.003,0.229,0.9,0.066,0.486,0.072,0.245,0.555,0.035,0.0,0.001,0.0,0.203,0.0,0.823,0.2,0.991,0.434,0.635,0.157,0.004,0.021,0.015,0.732,0.883,0.69,0.057,0.004,0.025,0.301,0.411,0.957,0.432,0.027
FingerSequence,0.003,0.0,0.215,0.128,0.021,0.0,0.553,0.368,0.033,0.196,0.108,0.773,0.617,0.049,0.039,0.042,0.0,0.0,0.013,0.029,0.829,0.932,0.55,0.435,0.015,0.038,0.028,0.581,0.138,0.006,0.769,0.61,0.126,0.199,0.903,0.84,0.684,0.379
Rest,0.047,0.211,0.076,0.19,0.007,0.221,0.731,0.036,0.137,0.255,0.135,0.62,0.242,0.885,0.306,0.005,0.984,0.0,0.151,0.78,0.67,0.92,0.02,0.031,0.268,0.566,0.867,0.247,0.308,0.103,0.726,0.028,0.066,0.255,0.089,0.415,0.157,0.244
AnimatedMovie,0.293,0.03,0.139,0.206,0.966,0.014,0.23,0.266,0.36,0.185,0.129,0.886,0.591,0.008,0.012,0.207,0.012,0.0,0.718,0.631,0.506,0.016,0.104,0.027,0.029,0.14,0.005,0.099,0.33,0.195,0.96,0.976,0.45,0.067,0.345,0.806,0.008,0.083
LandscapeMovie,0.005,0.005,0.917,0.301,0.197,0.007,0.721,0.003,0.807,0.977,0.005,0.063,0.042,0.142,0.965,0.0,0.934,0.0,0.245,0.175,0.141,0.129,0.122,0.004,0.002,0.026,0.103,0.925,0.89,0.001,0.771,0.165,0.078,0.021,0.086,0.048,0.013,0.032
FingerSimple,0.086,0.737,0.221,0.589,0.555,0.958,0.907,0.001,0.917,0.778,0.033,0.145,0.213,0.338,0.59,0.004,0.005,0.026,0.552,0.117,0.552,0.843,0.002,0.018,0.732,0.959,0.216,0.27,0.493,0.013,0.927,0.148,0.243,0.197,0.009,0.101,0.106,0.314
SpatialImagery,0.016,0.17,0.115,0.957,0.286,0.3,0.221,0.007,0.015,0.008,0.003,0.003,0.098,0.688,0.225,0.075,0.0,0.0,0.796,0.006,0.472,0.756,0.007,0.392,0.94,0.872,0.126,0.023,0.261,0.016,0.638,0.615,0.306,0.172,0.019,0.014,0.72,0.288
BiologicalMotion,0.032,0.04,0.936,0.293,0.098,0.062,0.382,0.73,0.201,0.155,0.005,0.075,0.101,0.8,0.916,0.808,0.0,0.006,0.861,0.748,0.28,0.049,0.324,0.037,0.116,0.965,0.241,0.549,0.605,0.512,0.548,0.056,0.326,0.112,0.203,0.873,0.057,0.431
MentalRotationMedium,0.586,0.454,0.628,0.725,0.018,0.333,0.853,0.01,0.355,0.041,0.5,0.476,0.026,0.029,0.544,0.015,0.003,0.008,0.771,0.067,0.89,0.168,0.467,0.227,0.656,0.737,0.816,0.494,0.576,0.026,0.36,0.006,0.007,0.072,0.275,0.235,0.382,0.03
SpatialMapMedium,0.106,0.033,0.773,0.234,0.004,0.019,0.412,0.181,0.06,0.007,0.177,0.646,0.115,0.017,0.112,0.0,0.185,0.0,0.665,0.807,0.804,0.39,0.357,0.013,0.052,0.208,0.201,0.66,0.767,0.049,0.299,0.07,0.09,0.2,0.525,0.39,0.03,0.061
Math,0.93,0.989,0.024,0.936,0.004,0.641,0.912,0.0,0.0,0.01,0.004,0.0,0.34,0.0,0.0,0.059,0.003,0.218,0.066,0.0,0.12,0.408,0.289,0.078,0.53,0.206,0.317,0.271,0.151,0.045,0.941,0.737,0.85,0.0,0.144,0.043,0.04,0.553
