,n_exp,n_iters,duration,hardware,analysis
0,1000,100,2521.040595769882,CPU,ALE
1,100,10,25.88952708244324,CPU,ALE
2,100,100,199.9070806503296,CPU,ALE
3,100,1000,2745.1396889686584,CPU,ALE
4,100,10000,17465.59577345848,CPU,ALE
5,200,100,496.9114706516266,CPU,ALE
6,300,100,757.9188520908356,CPU,ALE
7,400,100,858.8444163799286,CPU,ALE
8,500,100,1076.1168503761292,CPU,ALE
9,600,100,1437.120606660843,CPU,ALE
10,700,100,1813.5294058322904,CPU,ALE
11,800,100,1843.7813127040863,CPU,ALE
12,900,100,2074.72682595253,CPU,ALE
13,1000,100,2942.494396209717,CPU,dSALE
14,100,10,98.6110978126526,CPU,dSALE
15,100,100,370.2190299034119,CPU,dSALE
16,100,1000,2806.1873364448547,CPU,dSALE
17,100,10000,22339.295183181763,CPU,dSALE
18,200,100,644.3270313739777,CPU,dSALE
19,300,100,543.3287165164948,CPU,dSALE
20,400,100,1077.5870110988617,CPU,dSALE
21,500,100,1266.559110879898,CPU,dSALE
22,600,100,1681.0791096687317,CPU,dSALE
23,700,100,1912.49050450325,CPU,dSALE
24,800,100,2168.872802257538,CPU,dSALE
25,900,100,2642.493865966797,CPU,dSALE
26,100,100,7.715679168701172,GPU,ALE
27,200,100,13.42917776107788,GPU,ALE
28,300,100,21.789435148239136,GPU,ALE
29,400,100,31.97182536125183,GPU,ALE
30,500,100,44.21456217765808,GPU,ALE
31,600,100,60.970733404159546,GPU,ALE
32,700,100,77.64500522613525,GPU,ALE
33,800,100,100.1716821193695,GPU,ALE
34,900,100,127.55053091049194,GPU,ALE
35,1000,100,157.96848154067993,GPU,ALE
36,100,10,5.842529296875,GPU,ALE
37,100,1000,25.999088048934937,GPU,ALE
38,100,10000,209.0241372585297,GPU,ALE
39,100,100,5.420319557189941,GPU,dSALE
40,200,100,8.172866106033325,GPU,dSALE
41,300,100,10.867832660675049,GPU,dSALE
42,400,100,13.68311095237732,GPU,dSALE
43,500,100,16.67839741706848,GPU,dSALE
44,600,100,20.10574984550476,GPU,dSALE
45,700,100,21.95818519592285,GPU,dSALE
46,800,100,24.54498529434204,GPU,dSALE
47,900,100,27.05146050453186,GPU,dSALE
48,1000,100,31.320005655288696,GPU,dSALE
49,100,10,4.156098127365112,GPU,dSALE
50,100,1000,18.2453293800354,GPU,dSALE
51,100,10000,220.48566436767572,GPU,dSALE
52,100,100,6.839141607284546,GPU,SALE
53,200,100,9.213350057601929,GPU,SALE
54,300,100,11.968864440917969,GPU,SALE
55,400,100,14.545230388641356,GPU,SALE
56,500,100,17.094774961471558,GPU,SALE
57,600,100,20.42539072036743,GPU,SALE
58,700,100,21.96521258354187,GPU,SALE
59,800,100,24.69873309135437,GPU,SALE
60,900,100,27.32815837860108,GPU,SALE
61,1000,100,30.94225788116455,GPU,SALE
62,100,10,5.102688550949097,GPU,SALE
63,100,1000,18.23186111450196,GPU,SALE
64,100,10000,201.07307744026184,GPU,SALE
