domain,subsample_label,corr
Interoception,N = 25,0.3111375925006209
Interoception,N = 50,0.7082734308982275
Interoception,N = 75,
Interoception,N = 100,
Emotion,N = 25,0.1128605650149483
Emotion,N = 50,0.2417067375086233
Emotion,N = 75,0.328148582820926
Emotion,N = 100,0.4346422774150187
Action,N = 25,0.330546056247673
Action,N = 50,0.5134872149357231
Action,N = 75,0.6421862603751739
Action,N = 100,0.7372896433684788
Perception,N = 25,0.0508160421483549
Perception,N = 50,0.1049586401073606
Perception,N = 75,0.1515625504197817
Perception,N = 100,0.1970330371724163
Cognition,N = 25,0.0399850389681404
Cognition,N = 50,0.0877949402290868
Cognition,N = 75,0.1442538424844471
Cognition,N = 100,0.1887480263978796
