domain,subsample_label,corr
Interoception,0.2,0.1788370916218059
Interoception,0.4,0.3405954688625708
Interoception,0.6,0.5565924415051996
Interoception,0.8,0.7723224719957115
Emotion,0.2,0.1943442607806695
Emotion,0.4,0.3918361274559147
Emotion,0.6,0.5672988225269712
Emotion,0.8,0.7901167198063996
Action,0.2,0.5263631122435964
Action,0.4,0.7459754138087175
Action,0.6,0.8647117624105488
Action,0.8,0.945212816454304
Perception,0.2,0.1421472194112406
Perception,0.4,0.2855830229817566
Perception,0.6,0.4623012709468657
Perception,0.8,0.6838283348027158
Cognition,0.2,0.2374207673649382
Cognition,0.4,0.4838739860955861
Cognition,0.6,0.7354915281690377
Cognition,0.8,0.8846268971669331
