domain,subsample_label,corr
Interoception,0.2,0.17291451276508285
Interoception,0.4,0.1673589291008113
Interoception,0.6,0.13484067311131628
Interoception,0.8,0.0693652697218299
Emotion,0.2,0.16192946187137322
Emotion,0.4,0.1523494848331596
Emotion,0.6,0.12799813288266476
Emotion,0.8,0.08047440225237057
Action,0.2,0.1348582209050829
Action,0.4,0.0803269447836533
Action,0.6,0.04482020669058542
Action,0.8,0.021187243149141853
Perception,0.2,0.1417847905005827
Perception,0.4,0.1559207793918355
Perception,0.6,0.13827328134038905
Perception,0.8,0.10465161219990549
Cognition,0.2,0.17914385044082345
Cognition,0.4,0.18376254942567954
Cognition,0.6,0.12960242365416222
Cognition,0.8,0.0627583014829999
